logged_at,symbol,kind,dimension,weight,score,live
2026-07-23,INDUSINDBK,RE-ENTRY WINDOW,catalyst,10.0,0.1,True
2026-07-23,INDUSINDBK,RE-ENTRY WINDOW,earnings_inflection,20.0,0.846,True
2026-07-23,INDUSINDBK,RE-ENTRY WINDOW,financial_strength_trend,10.0,0.5,True
2026-07-23,INDUSINDBK,RE-ENTRY WINDOW,governance,8.0,0.05,True
2026-07-23,INDUSINDBK,RE-ENTRY WINDOW,rs_and_stage,20.0,0.709,True
2026-07-23,INDUSINDBK,RE-ENTRY WINDOW,smart_money,12.0,1.0,True
2026-07-23,INDUSINDBK,RE-ENTRY WINDOW,theme_tailwind,15.0,0.3,True
2026-07-23,INDUSINDBK,RE-ENTRY WINDOW,valuation_sanity,5.0,0.55,True
2026-07-23,JAMNAAUTO,BUY CANDIDATE,catalyst,10.0,0.0,True
2026-07-23,JAMNAAUTO,BUY CANDIDATE,earnings_inflection,20.0,0.942,True
2026-07-23,JAMNAAUTO,BUY CANDIDATE,financial_strength_trend,10.0,0.957,True
2026-07-23,JAMNAAUTO,BUY CANDIDATE,governance,8.0,0.85,True
2026-07-23,JAMNAAUTO,BUY CANDIDATE,rs_and_stage,20.0,0.894,True
2026-07-23,JAMNAAUTO,BUY CANDIDATE,smart_money,12.0,1.0,True
2026-07-23,JAMNAAUTO,BUY CANDIDATE,theme_tailwind,15.0,0.3,True
2026-07-23,JAMNAAUTO,BUY CANDIDATE,valuation_sanity,5.0,0.7,True
2026-07-23,RADICO,RE-ENTRY WINDOW,catalyst,10.0,0.267,True
2026-07-23,RADICO,RE-ENTRY WINDOW,earnings_inflection,20.0,0.988,True
2026-07-23,RADICO,RE-ENTRY WINDOW,financial_strength_trend,10.0,0.92,True
2026-07-23,RADICO,RE-ENTRY WINDOW,governance,8.0,0.85,True
2026-07-23,RADICO,RE-ENTRY WINDOW,rs_and_stage,20.0,0.957,True
2026-07-23,RADICO,RE-ENTRY WINDOW,smart_money,12.0,0.967,True
2026-07-23,RADICO,RE-ENTRY WINDOW,theme_tailwind,15.0,0.3,True
2026-07-23,RADICO,RE-ENTRY WINDOW,valuation_sanity,5.0,0.25,True
2026-07-24,CEMPRO,RE-ENTRY WINDOW,catalyst,10.0,0.333,True
2026-07-24,CEMPRO,RE-ENTRY WINDOW,earnings_inflection,20.0,0.79,True
2026-07-24,CEMPRO,RE-ENTRY WINDOW,financial_strength_trend,10.0,0.648,True
2026-07-24,CEMPRO,RE-ENTRY WINDOW,governance,8.0,0.85,True
2026-07-24,CEMPRO,RE-ENTRY WINDOW,rs_and_stage,20.0,0.841,True
2026-07-24,CEMPRO,RE-ENTRY WINDOW,smart_money,12.0,0.673,True
2026-07-24,CEMPRO,RE-ENTRY WINDOW,theme_tailwind,15.0,0.3,True
2026-07-24,CEMPRO,RE-ENTRY WINDOW,valuation_sanity,5.0,0.95,True
2026-07-24,GRAPHITE,BUY CANDIDATE,catalyst,10.0,0.1,True
2026-07-24,GRAPHITE,BUY CANDIDATE,earnings_inflection,20.0,0.09,True
2026-07-24,GRAPHITE,BUY CANDIDATE,financial_strength_trend,10.0,0.744,True
2026-07-24,GRAPHITE,BUY CANDIDATE,governance,8.0,0.85,True
2026-07-24,GRAPHITE,BUY CANDIDATE,rs_and_stage,20.0,0.706,True
2026-07-24,GRAPHITE,BUY CANDIDATE,smart_money,12.0,0.515,True
2026-07-24,GRAPHITE,BUY CANDIDATE,theme_tailwind,15.0,0.3,True
2026-07-24,GRAPHITE,BUY CANDIDATE,valuation_sanity,5.0,0.25,True
2026-07-24,IONEXCHANG,BUY CANDIDATE,catalyst,10.0,0.433,True
2026-07-24,IONEXCHANG,BUY CANDIDATE,earnings_inflection,20.0,0.176,True
2026-07-24,IONEXCHANG,BUY CANDIDATE,financial_strength_trend,10.0,0.384,True
2026-07-24,IONEXCHANG,BUY CANDIDATE,governance,8.0,0.85,True
2026-07-24,IONEXCHANG,BUY CANDIDATE,rs_and_stage,20.0,0.664,True
2026-07-24,IONEXCHANG,BUY CANDIDATE,smart_money,12.0,0.673,True
2026-07-24,IONEXCHANG,BUY CANDIDATE,theme_tailwind,15.0,0.3,True
2026-07-24,IONEXCHANG,BUY CANDIDATE,valuation_sanity,5.0,0.55,True
2026-07-27,AUBANK,BUY CANDIDATE,catalyst,10.0,0.0,True
2026-07-27,AUBANK,BUY CANDIDATE,earnings_inflection,20.0,,False
2026-07-27,AUBANK,BUY CANDIDATE,financial_strength_trend,10.0,0.5,True
2026-07-27,AUBANK,BUY CANDIDATE,governance,8.0,0.85,True
2026-07-27,AUBANK,BUY CANDIDATE,rs_and_stage,20.0,0.722,True
2026-07-27,AUBANK,BUY CANDIDATE,smart_money,12.0,0.897,True
2026-07-27,AUBANK,BUY CANDIDATE,theme_tailwind,15.0,0.3,True
2026-07-27,AUBANK,BUY CANDIDATE,valuation_sanity,5.0,0.05,True
2026-07-27,KSB,BUY CANDIDATE,catalyst,10.0,0.1,True
2026-07-27,KSB,BUY CANDIDATE,earnings_inflection,20.0,0.33,True
2026-07-27,KSB,BUY CANDIDATE,financial_strength_trend,10.0,0.62,True
2026-07-27,KSB,BUY CANDIDATE,governance,8.0,0.85,True
2026-07-27,KSB,BUY CANDIDATE,rs_and_stage,20.0,0.714,True
2026-07-27,KSB,BUY CANDIDATE,smart_money,12.0,0.455,True
2026-07-27,KSB,BUY CANDIDATE,theme_tailwind,15.0,0.3,True
2026-07-27,KSB,BUY CANDIDATE,valuation_sanity,5.0,0.45,True
2026-07-27,LUPIN,BUY CANDIDATE,catalyst,10.0,0.267,True
2026-07-27,LUPIN,BUY CANDIDATE,earnings_inflection,20.0,0.763,True
2026-07-27,LUPIN,BUY CANDIDATE,financial_strength_trend,10.0,0.683,True
