logged_at,run_date,symbol,rank,score,coverage_pct,vetoed,veto_reasons,archetypes,close,atr,stop_suggested,tag,rs_pctile,median_turnover_cr,market_cap_cr,risk_flags
2026-07-25 16:08,2026-07-25,NSLNISP,8,73.1,100.0,False,,Turnaround (margin-confirmed) + Hyper-growth,41.650001525878906,0.91,39.38,WATCH,68.8,13.216,12136.0,
2026-07-25 16:08,2026-07-25,FILATEX,9,71.1,100.0,False,,Deleveraging,72.0,4.7,60.25,EXTENDED,97.2,22.715,3278.0,
2026-07-25 16:08,2026-07-25,SUYOG,10,70.9,100.0,False,,Turnaround (margin-confirmed),841.0999755859375,31.91,761.32,WATCH,94.5,3.126,996.0,
2026-07-25 16:08,2026-07-25,SOUTHWEST,11,70.1,100.0,False,,Hyper-growth,236.19000244140625,11.44,207.59,WATCH,96.3,6.336,763.0,promoter sold 2.9 pts in 4 quarters
2026-07-25 16:08,2026-07-25,SHRIRAMPPS,12,68.4,100.0,False,,Hyper-growth,84.08000183105469,3.29,75.86,WATCH,67.0,4.71,1453.0,
2026-07-25 16:08,2026-07-25,MAHABANK,13,67.7,100.0,False,,,78.4800033569336,2.81,71.46,WATCH,91.3,111.311,62325.0,promoter sold 6.0 pts in 4 quarters
2026-07-25 16:08,2026-07-25,ANDHRSUGAR,14,67.6,100.0,False,,Deleveraging,85.41999816894531,3.63,76.34,WATCH,83.0,2.42,1170.0,
2026-07-25 16:08,2026-07-25,NIVABUPA,15,67.0,100.0,False,,Hyper-growth,84.62000274658203,2.3,78.87,WATCH,70.2,8.963,16022.0,
2026-07-25 16:08,2026-07-25,CCAVENUE,17,66.4,100.0,False,,Hyper-growth,16.149999618530273,0.66,14.5,WATCH,70.6,22.872,5697.0,
2026-07-25 16:08,2026-07-25,VISAKAIND,18,65.3,100.0,False,,,80.23999786376953,3.96,70.34,WATCH,82.1,1.049,690.0,
