symbol,company,industry,index_source,market_cap_cr_at_add,turnover_cr_at_add
COSMOFIRST,COSMO FIRST LIMITED,,nse_gap,2490.0,9.19
ORIENTHOT,Oriental Hotels Limited,,nse_gap,2477.0,4.9
STOVEKRAFT,Stove Kraft Limited,,nse_gap,2456.0,10.18
SUNDROP,Sundrop Brands Limited,,nse_gap,2438.0,1.13
ARKADE,Arkade Developers Limited,,nse_gap,2432.0,4.58
APOLLOPIPE,Apollo Pipes Limited,,nse_gap,2428.0,21.29
SIRCA,Sirca Paints India Limited,,nse_gap,2422.0,19.74
PIXTRANS,Pix Transmissions Limited,,nse_gap,2407.0,2.32
SPAL,S. P. Apparels Limited,,nse_gap,2404.0,7.4
JGCHEM,J.G.Chemicals Limited,,nse_gap,2383.0,20.66
MARATHON,Marathon Nextgen Realty Limited,,nse_gap,2376.0,3.81
MOLDTKPAC,Mold-Tek Packaging Limited,,nse_gap,2356.0,4.42
NELCO,NELCO Limited,,nse_gap,2338.0,29.08
AJMERA,Ajmera Realty & Infra India Limited,,nse_gap,2321.0,2.64
BOMDYEING,Bombay Dyeing & Mfg Company Limited,,nse_gap,2306.0,5.82
PRAKASH,Prakash Industries Limited,,nse_gap,2303.0,3.48
RANEHOLDIN,Rane Holdings Limited,,nse_gap,2291.0,2.24
VERANDA,Veranda Learning Solutions Limited,,nse_gap,2272.0,6.36
REPCOHOME,Repco Home Finance Limited,,nse_gap,2246.0,3.56
PROTEAN,Protean eGov Technologies Limited,,nse_gap,2232.0,12.44
KCP,KCP Limited,,nse_gap,2226.0,2.65
TAJGVK,Taj GVK Hotels & Resorts Limited,,nse_gap,2197.0,2.35
BAJEL,Bajel Projects Limited,,nse_gap,2181.0,2.92
SHK,S H Kelkar and Company Limited,,nse_gap,2179.0,6.85
EMSLIMITED,EMS Limited,,nse_gap,2177.0,7.32
HLEGLAS,HLE Glascoat Limited,,nse_gap,2177.0,5.95
THEJO,Thejo Engineering Limited,,nse_gap,2164.0,1.44
SAKSOFT,Saksoft Limited,,nse_gap,2161.0,5.78
VINCOFE,Vintage Coffee And Beverages Limited,,nse_gap,2160.0,33.51
PENIND,Pennar Industries Limited,,nse_gap,2152.0,5.75
SOMANYCERA,Somany Ceramics Limited,,nse_gap,2133.0,8.76
VENKEYS,Venky's (India) Limited,,nse_gap,2131.0,8.2
SANSTAR,Sanstar Limited,,nse_gap,2119.0,1.72
BHARATRAS,Bharat Rasayan Limited,,nse_gap,2116.0,1.29
LANDMARK,Landmark Cars Limited,,nse_gap,2102.0,6.68
CAMLINFINE,Camlin Fine Sciences Limited,,nse_gap,2080.0,6.93
TCIEXP,TCI Express Limited,,nse_gap,2077.0,1.94
INDIANHUME,Indian Hume Pipe Company Limited,,nse_gap,2065.0,1.16
HINDOILEXP,Hindustan Oil Exploration Company Limited,,nse_gap,2056.0,6.87
WINDLAS,Windlas Biotech Limited,,nse_gap,2050.0,7.71
CANTABIL,Cantabil Retail India Limited,,nse_gap,2048.0,2.6
ARMANFIN,Arman Financial Services Limited,,nse_gap,2046.0,6.65
HPL,HPL Electric & Power Limited,,nse_gap,2041.0,2.45
SHANTIGOLD,Shanti Gold International Limited,,nse_gap,2035.0,37.88
INDOCO,Indoco Remedies Limited,,nse_gap,2013.0,1.95
HESTERBIO,Hester Biosciences Limited,,nse_gap,2012.0,1.11
GMBREW,GM Breweries Limited,,nse_gap,2010.0,1.71
SIMPLEXINF,Simplex Infrastructures Limited,,nse_gap,1999.0,1.66
EPACK,EPACK Durable Limited,,nse_gap,1989.0,8.14
HUHTAMAKI,Huhtamaki India Limited,,nse_gap,1983.0,3.77
GREENPANEL,Greenpanel Industries Limited,,nse_gap,1974.0,4.04
GOCLCORP,GOCL Corporation Limited,,nse_gap,1965.0,1.73
BFUTILITIE,BF Utilities Limited,,nse_gap,1961.0,1.98
DCXINDIA,DCX Systems Limited,,nse_gap,1950.0,5.81
SPANDANA,Spandana Sphoorty Financial Limited,,nse_gap,1937.0,3.12
NUCLEUS,Nucleus Software Exports Limited,,nse_gap,1927.0,1.91
LAOPALA,La Opala RG Limited,,nse_gap,1922.0,3.56
TEAMLEASE,Teamlease Services Limited,,nse_gap,1903.0,1.91
ASIANENE,Asian Energy Services Limited,,nse_gap,1895.0,21.93
TINNARUBR,Tinna Rubber and Infrastructure Limited,,nse_gap,1881.0,5.66
TARSONS,Tarsons Products Limited,,nse_gap,1835.0,5.25
KRSNAA,Krsnaa Diagnostics Limited,,nse_gap,1822.0,4.17
GOCOLORS,Go Fashion (India) Limited,,nse_gap,1795.0,4.38
YATRA,Yatra Online Limited,,nse_gap,1793.0,11.15
RICOAUTO,Rico Auto Industries Limited,,nse_gap,1786.0,20.8
RACLGEAR,RACL Geartech Limited,,nse_gap,1782.0,4.53
5PAISA,5Paisa Capital Limited,,nse_gap,1772.0,1.57
TIRUMALCHM,Thirumalai Chemicals Limited,,nse_gap,1771.0,9.6
KPEL,K.P. Energy Limited,,nse_gap,1770.0,7.3
NDRAUTO,Ndr Auto Components Limited,,nse_gap,1760.0,1.5
CAPACITE,Capacit'e Infraprojects Limited,,nse_gap,1747.0,7.8
GARUDA,Garuda Construction and Engineering Limited,,nse_gap,1712.0,8.1
JINDRILL,Jindal Drilling And Industries Limited,,nse_gap,1690.0,13.19
BFINVEST,BF Investment Limited,,nse_gap,1683.0,1.34
INSECTICID,Insecticides (India) Limited,,nse_gap,1678.0,1.27
SURAKSHA,Suraksha Diagnostic Limited,,nse_gap,1644.0,4.34
AURUM,Aurum PropTech Limited,,nse_gap,1643.0,2.87
SPMLINFRA,SPML Infra Limited,,nse_gap,1637.0,3.38
WENDT,Wendt (India) Limited,,nse_gap,1636.0,4.18
HINDWAREAP,Hindware Home Innovation Limited,,nse_gap,1635.0,1.89
IPL,India Pesticides Limited,,nse_gap,1621.0,1.29
SURYODAY,Suryoday Small Finance Bank Limited,,nse_gap,1600.0,7.03
MOBIKWIK,One Mobikwik Systems Limited,,nse_gap,1600.0,14.34
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,,nse_gap,1576.0,2.12
CLSEL,Chaman Lal Setia Exports Limited,,nse_gap,1570.0,2.56
MBEL,M & B Engineering Limited,,nse_gap,1565.0,3.23
TTKHLTCARE,TTK Healthcare Limited,,nse_gap,1558.0,2.98
DOLLAR,Dollar Industries Limited,,nse_gap,1549.0,2.23
DLINKINDIA,D-Link (India) Limited,,nse_gap,1547.0,3.62
INFOBEAN,InfoBeans Technologies Limited,,nse_gap,1527.0,3.12
IGPL,IG Petrochemicals Limited,,nse_gap,1524.0,4.13
AMRUTANJAN,Amrutanjan Health Care Limited,,nse_gap,1518.0,3.06
IKIO,IKIO Technologies Limited,,nse_gap,1506.0,3.38
DIFFNKG,Diffusion Engineers Limited,,nse_gap,1502.0,5.94
AYMSYNTEX,AYM Syntex Limited,,nse_gap,1493.0,1.12
ASALCBR,Associated Alcohols & Breweries Ltd.,,nse_gap,1451.0,1.69
BHARATSE,Bharat Seats Limited,,nse_gap,1444.0,5.55
GPTINFRA,GPT Infraprojects Limited,,nse_gap,1441.0,1.07
UDS,Updater Services Limited,,nse_gap,1419.0,6.53
SIGNPOST,Signpost India Limited,,nse_gap,1415.0,1.32
SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited,,nse_gap,1412.0,1.9
RGL,Renaissance Global Limited,,nse_gap,1409.0,8.93
IZMO,IZMO Limited,,nse_gap,1406.0,8.84
TEXINFRA,Texmaco Infrastructure & Holdings Limited,,nse_gap,1402.0,1.15
GALAPREC,Gala Precision Engineering Limited,,nse_gap,1396.0,3.62
ATULAUTO,Atul Auto Limited,,nse_gap,1365.0,6.84
EXPLEOSOL,Expleo Solutions Limited,,nse_gap,1362.0,2.54
INDOBORAX,Indo Borax & Chemicals Limited,,nse_gap,1353.0,7.19
QUADFUTURE,Quadrant Future Tek Limited,,nse_gap,1348.0,10.76
IGARASHI,Igarashi Motors India Limited,,nse_gap,1346.0,2.48
ANDHRSUGAR,The Andhra Sugars Limited,,nse_gap,1340.0,6.11
MANAKCOAT,Manaksia Coated Metals & Industries Limited,,nse_gap,1337.0,4.3
ASTEC,Astec LifeSciences Limited,,nse_gap,1319.0,1.55
KROSS,Kross Limited,,nse_gap,1305.0,6.2
ALLTIME,All Time Plastics Limited,,nse_gap,1302.0,1.62
