symbol,company,industry,index_source,market_cap_cr_at_add,turnover_cr_at_add
BHARATWIRE,Bharat Wire Ropes Limited,,nse_gap,1277.0,2.44
EKC,Everest Kanto Cylinder Limited,,nse_gap,1260.0,1.42
EIMCOELECO,Eimco Elecon (India) Limited,,nse_gap,1260.0,6.13
GODAVARIB,Godavari Biorefineries Limited,,nse_gap,1250.0,3.02
APEX,Apex Frozen Foods Limited,,nse_gap,1249.0,4.98
CENTENKA,Century Enka Limited,,nse_gap,1244.0,3.17
PRECAM,Precision Camshafts Limited,,nse_gap,1241.0,1.52
GPTHEALTH,GPT Healthcare Limited,,nse_gap,1236.0,1.38
UTTAMSUGAR,Uttam Sugar Mills Limited,,nse_gap,1233.0,10.77
SULA,Sula Vineyards Limited,,nse_gap,1231.0,4.03
LINCOLN,Lincoln Pharmaceuticals Limited,,nse_gap,1222.0,1.54
FINOPB,Fino Payments Bank Limited,,nse_gap,1214.0,4.78
RUPA,Rupa & Company Limited,,nse_gap,1208.0,1.24
MUNJALAU,Munjal Auto Industries Limited,,nse_gap,1205.0,5.2
GHCLTEXTIL,GHCL Textiles Limited,,nse_gap,1204.0,8.86
FAZE3Q,Faze Three Limited,,nse_gap,1198.0,1.11
RIIL,Reliance Industrial Infrastructure Limited,,nse_gap,1187.0,2.49
ALICON,Alicon Castalloy Limited,,nse_gap,1165.0,1.62
GULPOLY,Gulshan Polyols Limited,,nse_gap,1165.0,4.76
THEMISMED,Themis Medicare Limited,,nse_gap,1163.0,1.17
BIRLANU,BirlaNu Limited,,nse_gap,1157.0,1.37
IRMENERGY,IRM Energy Limited,,nse_gap,1146.0,2.4
MONTECARLO,Monte Carlo Fashions Limited,,nse_gap,1145.0,2.97
PLATIND,Platinum Industries Limited,,nse_gap,1140.0,1.39
ICEMAKE,Ice Make Refrigeration Limited,,nse_gap,1139.0,1.4
ORIENTTECH,Orient Technologies Limited,,nse_gap,1128.0,3.56
AWHCL,Antony Waste Handling Cell Limited,,nse_gap,1090.0,2.95
TNPETRO,Tamilnadu PetroProducts Limited,,nse_gap,1090.0,5.46
ARIS,Arisinfra Solutions Limited,,nse_gap,1083.0,21.04
BAJAJHCARE,Bajaj Healthcare Limited,,nse_gap,1081.0,2.39
HARIOMPIPE,Hariom Pipe Industries Limited,,nse_gap,1079.0,3.51
NAHARSPING,Nahar Spinning Mills Limited,,nse_gap,1075.0,1.12
SRM,SRM Contractors Limited,,nse_gap,1073.0,4.57
MATRIMONY,Matrimony.Com Limited,,nse_gap,1067.0,1.07
LAXMIDENTL,Laxmi Dental Limited,,nse_gap,1059.0,2.34
KOPRAN,Kopran Limited,,nse_gap,1050.0,22.23
MAMATA,Mamata Machinery Limited,,nse_gap,1034.0,2.8
DAMCAPITAL,Dam Capital Advisors Limited,,nse_gap,1021.0,3.13
NELCAST,Nelcast Limited,,nse_gap,1005.0,1.07
