symbol,company,series,arm,last_close,market_cap_cr,median_turnover_cr,min_turnover_cr,median_trades,median_volume,band_pct,circuit_days,circuit_frac,sessions_seen,sessions_traded,listing_date,listing_age_days,in_index_universe,mcap_pending,last_date,as_of,built_at
INDOFARM,Indo Farm Equipment Limited,EQ,mcap,143.36,674.0,1.222,0.66,1863.0,86499.0,20.0,0,0.0,25,25,2025-01-07,622.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
MEIL,Mangal Electrical Industries Limited,EQ,mcap,267.25,779.0,1.199,0.481,1243.0,44664.0,20.0,0,0.0,25,25,2025-08-28,389.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
GENCON,Generic Engineering Construction and Projects Limited,EQ,price+mcap,40.54,225.0,1.183,0.184,981.0,282549.0,20.0,0,0.0,25,25,2021-02-16,2043.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
KRYSTAL,Krystal Integrated Services Limited,EQ,mcap,652.2,859.0,1.17,0.256,1129.0,17990.0,20.0,0,0.0,25,25,2024-03-21,914.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
SWELECTES,Swelect Energy Systems Limited,EQ,mcap,572.6,864.0,1.165,0.351,1444.0,19790.0,20.0,0,0.0,25,25,2006-05-09,7440.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
BESTAGRO,Best Agrolife Limited,EQ,price+mcap,18.54,657.0,1.165,0.467,1966.0,601821.0,10.0,1,0.04,25,25,2024-04-10,894.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
LOKESHMACH,Lokesh Machines Limited,EQ,mcap,336.15,769.0,1.159,0.549,1499.0,33450.0,20.0,0,0.0,15,15,2006-05-05,7444.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
MGEL,Mangalam Global Enterprise Limited,EQ,price+mcap,15.78,532.0,1.14,0.353,913.5,711492.5,20.0,0,0.0,10,10,2020-12-23,2098.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
ZIMLAB,Zim Laboratories Limited,EQ,mcap,133.65,725.0,1.122,0.418,1947.0,92524.0,20.0,0,0.0,25,25,2022-11-25,1396.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
PROZONER,Prozone Realty Limited,EQ,price+mcap,52.9,803.0,1.099,0.288,1603.0,247369.0,20.0,0,0.0,25,25,2012-09-12,5122.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
PASUPTAC,Pasupati Acrylon Limited,EQ,price+mcap,71.17,605.0,1.097,0.731,1689.0,159716.0,20.0,0,0.0,5,5,2021-10-12,1805.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
THOMASCOTT,Thomas Scott (India) Limited,EQ,mcap,236.7,372.0,1.079,0.419,1716.0,40670.0,20.0,0,0.0,25,25,2012-01-30,5348.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
ISFT,Intrasoft Technologies Limited,EQ,price+mcap,92.09,130.0,1.07,0.178,946.0,124345.0,20.0,1,0.04,25,25,2010-04-12,6006.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
PAKKA,PAKKA LIMITED,EQ,price+mcap,78.67,365.0,1.068,0.361,3342.0,131265.0,20.0,1,0.04,25,25,2023-07-11,1168.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
DHARMAJ,Dharmaj Crop Guard Limited,EQ,mcap,281.25,910.0,1.067,0.534,1350.0,39754.0,20.0,0,0.0,25,25,2022-12-08,1383.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
TVSELECT,TVS Electronics Limited,EQ,mcap,396.0,763.0,1.064,0.541,1335.0,24082.0,20.0,0,0.0,25,25,2003-12-26,8305.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
