symbol,company,series,last_close,market_cap_cr,median_turnover_cr,median_trades,band_pct,gsm_stage,asm,exclude_reason,mcap_pending
FEDDERSHOL,Fedders Holding Limited,EQ,43.99,,1.175,1824.0,20.0,,,"listed 130d ago — under a year of history, no trend to read",False
ITETF,,,33.08,,1.173,880.0,20.0,,,not in the NSE equity master (ETF / REIT / InvIT — not a company),False
ALPHAETF,,,27.31,,1.171,827.0,20.0,,,not in the NSE equity master (ETF / REIT / InvIT — not a company),False
3BBLACKBIO,3B Blackbio Dx Limited,EQ,1441.2,,1.17,1119.0,20.0,,,"listed 130d ago — under a year of history, no trend to read",False
CONSUMBEES,,,132.58,,1.16,1029.0,20.0,,,not in the NSE equity master (ETF / REIT / InvIT — not a company),False
PRABHA,Prabha Energy Limited,EQ,207.77,,1.155,791.0,20.0,,ST Stage I,"ASM ST Stage I — surveillance: 100% margin, no intraday, no pledging",False
LICMFGOLD,,,142.0,,1.152,623.0,20.0,,,not in the NSE equity master (ETF / REIT / InvIT — not a company),False
TGVSL,TGV Sraac Limited,EQ,105.24,,1.151,1321.5,20.0,,,"listed 11d ago — under a year of history, no trend to read",False
VENTIVE,Ventive Hospitality Limited,EQ,587.1,13851.0,1.147,1163.0,10.0,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
MCLEODRUSS,Mcleod Russel India Limited,EQ,49.81,,1.123,1653.5,5.0,,,5% circuit band — cannot exit on bad news; closed at circuit on 21% of sessions — a stop cannot fill in a locked market,False
NAHARSPING,Nahar Spinning Mills Limited,EQ,288.4,1075.0,1.118,1213.0,20.0,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
TEXINFRA,Texmaco Infrastructure & Holdings Limited,EQ,111.41,1402.0,1.115,737.0,20.0,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
TOP10ADD,,,88.08,,1.112,566.0,20.0,,,not in the NSE equity master (ETF / REIT / InvIT — not a company),False
ELECTHERM,Electrotherm (India) Limited,EQ,1016.1,,1.101,853.0,10.0,,LT Stage I,"ASM LT Stage I — surveillance: 100% margin, no intraday, no pledging",False
RUSTOMJEE,Keystone Realtors Limited,EQ,380.3,4778.0,1.09,1555.0,20.0,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
UYFINCORP,U. Y. Fincorp Limited,BE,21.02,353.0,1.09,1403.0,5.0,,,series BE (trade-to-trade / SME — not normal rolling settlement); 5% circuit band — cannot exit on bad news,False
MAHKTECH,,,22.75,,1.075,1479.0,20.0,,,not in the NSE equity master (ETF / REIT / InvIT — not a company),False
NELCAST,Nelcast Limited,EQ,119.85,1005.0,1.072,2054.0,20.0,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
NURECA,Nureca Limited,BE,334.25,,1.072,1614.0,5.0,,,series BE (trade-to-trade / SME — not normal rolling settlement); 5% circuit band — cannot exit on bad news,False
GPTINFRA,GPT Infraprojects Limited,EQ,111.91,1441.0,1.071,1337.0,20.0,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
NSIL,Nalwa Sons Investments Limited,EQ,5715.5,2970.0,1.069,387.0,20.0,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
PSUBNKIETF,,,87.17,,1.068,791.0,20.0,,,not in the NSE equity master (ETF / REIT / InvIT — not a company),False
MYSORPETRO,Mysore Petro Chemicals Limited,BE,153.53,,1.063,1685.0,5.0,,,"series BE (trade-to-trade / SME — not normal rolling settlement); 5% circuit band — cannot exit on bad news; listed 11d ago — under a year of history, no trend to read; closed at circuit on 80% of sessions — a stop cannot fill in a locked market",False
TAALTECH,Taal Tech Limited,EQ,4562.0,,1.042,439.0,20.0,,,"listed 130d ago — under a year of history, no trend to read",False
FABTECH,Fabtech Technologies Limited,EQ,147.56,,1.033,1353.0,20.0,,,"listed 325d ago — under a year of history, no trend to read",False
NIMBSPROJ,Nimbus Projects Limited,EQ,169.98,,1.019,69.5,5.0,,,"5% circuit band — cannot exit on bad news; listed 144d ago — under a year of history, no trend to read; only 69 trades/day median — one operator's book, not a market",False
FAZE3Q,Faze Three Limited,EQ,491.05,1198.0,1.012,768.0,10.0,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
NIFTYBETA,,,268.24,,1.003,447.0,20.0,,,not in the NSE equity master (ETF / REIT / InvIT — not a company),False
EVINDIA,,,33.58,,0.993,1917.0,20.0,,,not in the NSE equity master (ETF / REIT / InvIT — not a company),False
AUTOAXLES,Automotive Axles Limited,EQ,1740.2,2611.0,0.992,804.0,20.0,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
ALPHAGEO,Alphageo (India) Limited,BE,345.41,,0.987,993.5,5.0,,,series BE (trade-to-trade / SME — not normal rolling settlement); 5% circuit band — cannot exit on bad news; closed at circuit on 44% of sessions — a stop cannot fill in a locked market,False
MONIFTY500,,,24.11,,0.987,1254.0,20.0,,,not in the NSE equity master (ETF / REIT / InvIT — not a company),False
ANNAPURNA,Annapurna Swadisht Limited,EQ,144.65,,0.979,779.0,20.0,,,"listed 16d ago — under a year of history, no trend to read",False
MUKANDLTD,Mukand Limited,EQ,137.27,1943.0,0.971,1203.0,20.0,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
NITTAGELA,Nitta Gelatin India Limited,EQ,1656.1,,0.965,911.0,20.0,,LT Stage I,"ASM LT Stage I — surveillance: 100% margin, no intraday, no pledging; listed 130d ago — under a year of history, no trend to read",False
JUBLCPL,Jubilant Agri and Consumer Products Limited,EQ,2140.4,3282.0,0.956,637.0,20.0,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,EQ,633.15,1152.0,0.946,984.0,20.0,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
