[245/651] ok    ZFCVINDIA (1856 rows)
[246/651] ok    ZEEL (1856 rows)
[247/651] ok    ZENTEC (1856 rows)
[248/651] ok    ZENSARTECH (1856 rows)
[249/651] ok    ZYDUSWELL (1856 rows)
[250/651] ok    ECLERX (1856 rows)
[251/651] ok    360ONE (1681 rows)
[252/651] ok    3MINDIA (1854 rows)
[253/651] ok    ACC (1856 rows)
[254/651] ok    AIAENG (1854 rows)
[255/651] ok    APLAPOLLO (1856 rows)
[256/651] ok    AUBANK (1856 rows)
[257/651] ok    AWL (1089 rows)
[258/651] ok    ABBOTINDIA (1856 rows)
[259/651] ok    ATGL (1856 rows)
[260/651] ok    ABCAPITAL (1856 rows)
[261/651] ok    AJANTPHARM (1855 rows)
[262/651] ok    ALKEM (1855 rows)
[263/651] ok    ANTHEM (238 rows)
[264/651] ok    APARINDS (1856 rows)
[265/651] ok    APOLLOTYRE (1856 rows)
[266/651] ok    ASHOKLEY (1856 rows)
[267/651] ok    ASTRAL (1856 rows)
[268/651] ok    AUROPHARMA (1855 rows)
[269/651] ok    AIIL (547 rows)
[271/651] ok    BAJAJHFL (448 rows)
[272/651] ok    BALKRISIND (1855 rows)
[273/651] ok    BANKINDIA (1856 rows)
[274/651] ok    MAHABANK (1856 rows)
[275/651] ok    BERGEPAINT (1856 rows)
[276/651] ok    BDL (1856 rows)
[277/651] ok    BHARATFORG (1855 rows)
[278/651] ok    BHEL (1856 rows)
[279/651] ok    BHARTIHEXA (553 rows)
[280/651] ok    GROWW (161 rows)
[281/651] ok    BIOCON (1856 rows)
[282/651] ok    BLUESTARCO (1856 rows)
[283/651] ok    CRISIL (1856 rows)
[284/651] ok    COCHINSHIP (1856 rows)
[285/651] ok    COFORGE (1856 rows)
[286/651] ok    COLPAL (1856 rows)
[287/651] ok    CONCOR (1856 rows)
[288/651] ok    COROMANDEL (1856 rows)
[289/651] ok    DABUR (1856 rows)
[290/651] ok    DALBHARAT (1855 rows)
[291/651] ok    DIXON (1856 rows)
[292/651] ok    ENDURANCE (1856 rows)
[293/651] ok    ESCORTS (1856 rows)
[294/651] ok    EXIDEIND (1856 rows)
[295/651] ok    NYKAA (1151 rows)
[296/651] ok    FEDERALBNK (1856 rows)
[297/651] ok    FORTIS (1856 rows)
[298/651] ok    GVT&D (1856 rows)
[299/651] ok    GMRAIRPORT (1856 rows)
[300/651] ok    GICRE (1856 rows)
[301/651] ok    GLAXO (1856 rows)
[302/651] ok    GLENMARK (1856 rows)
[303/651] ok    MEDANTA (896 rows)
