symbol,company,score,coverage_pct,vetoed,assessed,veto_reasons,archetypes,arm,close,tag,rs_pctile,tt_checks,pct_below_52w_high,run_3m_pct,vol_expansion,ep,market_cap_cr,median_turnover_cr,median_trades,band_pct,circuit_frac,in_index_universe,atr,stop_suggested,stop_basis,risk_flags,tier,rank
ASAL,Automotive Stampings and Assemblies Limited,55.1,100.0,False,True,,Hyper-growth,mcap,473.75,WATCH,58.3,2,27.6,-5.4,0.7,False,780.0,0.85,978.0,20.0,0.0,False,14.2,438.25,2.5xATR (7% wide),,0,57
AHCL,Anlon Healthcare Limited,55.0,100.0,False,True,,Hyper-growth,price+mcap,15.68000030517578,YOUNG,,7,9.2,3.6,0.71,False,830.0,2.958,2692.0,20.0,0.0,False,0.62,14.13,2.5xATR (10% wide),,0,58
PROSTARM,Prostarm Info Systems Limited,54.8,100.0,False,True,,Hyper-growth,mcap,134.72999572753906,BROKEN,28.1,1,43.2,-4.1,0.65,False,807.0,2.248,2776.0,20.0,0.0,False,5.52,120.93,2.5xATR (10% wide),,0,59
BCLIND,Bcl Industries Limited,54.6,100.0,False,True,,,price,36.619998931884766,WATCH,76.9,7,18.4,-4.0,0.47,False,1077.0,2.017,3145.0,20.0,0.0,False,1.16,33.72,2.5xATR (8% wide),,0,60
ANDHRAPAP,ANDHRA PAPER LIMITED,54.6,100.0,False,True,,,price,64.44999694824219,WATCH,40.2,3,25.8,5.0,1.38,False,1185.0,1.0,1668.0,20.0,0.0,False,1.94,59.6,2.5xATR (8% wide),,0,61
ZUARIIND,ZUARI INDUSTRIES LIMITED,54.3,100.0,False,True,,Turnaround (unconfirmed),mcap,276.45001220703125,WATCH,55.3,4,33.5,10.5,1.83,False,812.0,1.237,1508.0,20.0,0.0,False,12.82,244.4,2.5xATR (12% wide),,0,62
PDMJEPAPER,Pudumjee Paper Products Limited,54.3,100.0,False,True,,,price+mcap,93.22000122070312,WATCH,53.5,5,31.3,13.0,1.6,False,904.0,0.833,1682.0,20.0,0.0,False,4.2,82.72,2.5xATR (11% wide),,0,63
PYRAMID,Pyramid Technoplast Limited,54.0,100.0,False,True,,,mcap,153.8300018310547,WATCH,60.8,4,22.6,-6.5,0.64,False,591.0,0.687,1024.0,20.0,0.0,False,4.67,142.16,2.5xATR (8% wide),,0,64
EMKAY,Emkay Global Financial Services Limited,53.8,100.0,False,True,,,mcap,267.25,WATCH,79.9,4,34.8,-5.8,0.3,False,743.0,0.538,787.0,20.0,0.0,False,10.8,240.25,2.5xATR (10% wide),,0,65
DJML,DJ Mediaprint & Logistics Limited,53.7,100.0,False,True,,Hyper-growth,price+mcap,75.63999938964844,WATCH,21.1,4,39.4,-29.5,0.92,False,270.0,1.883,2757.0,10.0,0.08,False,7.8,,2.5xATR stop would be 26% wide — untradeably volatile,hit its circuit on 8% of recent sessions — a stop cannot fill in a locked market,0,66
