date,equity
2021-10-06,1875882.3042559796
2021-10-07,1890796.1533160382
2021-10-08,1895958.4773669415
2021-10-11,1885026.0557055646
2021-10-12,1882192.0118975812
2021-10-13,1893330.7288394147
2021-10-14,1898566.7430644208
2021-10-18,1915086.8995776349
2021-10-19,1906327.9344134503
2021-10-20,1853952.2784342938
2021-10-21,1841361.492595213
2021-10-22,1821477.3623461896
2021-10-25,1791247.1490740946
2021-10-26,1813659.8289179972
2021-10-27,1807267.998012083
2021-10-28,1795757.2901873759
2021-10-29,1786883.3505244425
2021-11-01,1791227.9855342081
2021-11-02,1789673.7155299357
2021-11-03,1789288.885573881
2021-11-04,1794951.0760493448
2021-11-08,1794489.6184687784
2021-11-09,1806575.6346736124
2021-11-10,1798335.987853544
2021-11-11,1793028.6616358927
2021-11-12,1798578.4949183634
2021-11-15,1802846.2646632364
2021-11-16,1821556.419997709
2021-11-17,1831758.5966944864
2021-11-18,1804753.5040431193
2021-11-22,1779134.1008143595
2021-11-23,1791536.0272364786
2021-11-24,1788993.9152195284
2021-11-25,1800250.8640568086
2021-11-26,1756354.1597873995
2021-11-29,1730488.4173481294
2021-11-30,1744135.28377269
2021-12-01,1743537.3737232515
2021-12-02,1755311.1352894136
2021-12-03,1756925.01524852
2021-12-06,1743237.8608895198
2021-12-07,1747037.6664620296
2021-12-08,1754256.8136940852
2021-12-09,1753856.179676141
2021-12-10,1756563.6681252376
2021-12-13,1748870.2255745784
2021-12-14,1747721.1958809749
2021-12-15,1751517.2659798518
2021-12-16,1767860.419489537
2021-12-17,1740409.4319968391
2021-12-20,1717682.443704145
2021-12-21,1720164.511407392
2021-12-22,1737592.0853057075
2021-12-23,1733887.300736921
2021-12-24,1734661.4859404732
2021-12-27,1735338.219209211
2021-12-28,1742649.6889891792
2021-12-29,1744210.350961225
2021-12-30,1739806.4938635994
2021-12-31,1752153.9013381172
2022-01-03,1752692.1255736519
2022-01-04,1771989.7500014473
2022-01-05,1785816.8940520454
2022-01-06,1799059.5769667793
2022-01-07,1795377.2334532905
2022-01-10,1850677.1226058174
2022-01-11,1844906.4849867988
2022-01-12,1847110.6807799507
2022-01-13,1877992.65218498
2022-01-14,1877508.2535491157
2022-01-17,1882318.0941100288
2022-01-18,1830811.811624067
2022-01-19,1845778.1735778023
2022-01-20,1843842.975167768
2022-01-21,1810079.3614298443
2022-01-24,1745966.7481322456
2022-01-25,1762840.6438613106
2022-01-27,1758363.1420226265
2022-01-28,1764215.156381147
2022-01-31,1769163.0990691353
2022-02-01,1770384.3033232857
2022-02-02,1805215.7765364815
2022-02-03,1810739.657830732
2022-02-04,1808981.5040068794
2022-02-07,1792983.1032080818
2022-02-08,1769112.8240065742
2022-02-09,1778971.9602408577
2022-02-10,1774941.2444930244
2022-02-11,1745756.5370277162
2022-02-14,1699455.9673370118
2022-02-15,1727678.4882568116
2022-02-16,1724745.179884314
2022-02-17,1716197.3400863404
2022-02-18,1707672.740949988
2022-02-21,1688771.8888381715
2022-02-22,1680653.6993291886
2022-02-23,1688666.2850378067
2022-02-24,1638082.8189324818
2022-02-25,1666110.130623766
2022-02-28,1678848.9435815297
2022-03-02,1670470.043679186
2022-03-03,1668242.9310235463
2022-03-04,1668663.688713976
2022-03-07,1660957.5495559995
2022-03-08,1662805.1830856625
2022-03-09,1664580.095881683
2022-03-10,1666513.3166153256
2022-03-11,1669892.0176346127
2022-03-14,1672160.4020798032
2022-03-15,1658525.7363998715
2022-03-16,1654900.935145599
2022-03-17,1664164.9159958188
2022-03-21,1659961.5450546567
2022-03-22,1663289.9674637143
2022-03-23,1671820.1113846127
2022-03-24,1674028.077296478
2022-03-25,1664181.7138473813
2022-03-28,1658651.3525955502
2022-03-29,1655813.822657806
2022-03-30,1662438.0154983823
2022-03-31,1659217.7110512082
2022-04-01,1671534.0633308713
2022-04-04,1686508.846411926
2022-04-05,1704551.9867966
2022-04-06,1699525.531367523
2022-04-07,1688816.1523124997
2022-04-08,1688976.9396066149
2022-04-11,1710445.498413988
2022-04-12,1730421.9266061266
2022-04-13,1740976.030798588
2022-04-18,1744472.8636464556
2022-04-19,1734571.1192159136
2022-04-20,1730527.9069852312
2022-04-21,1732440.7346143206
2022-04-22,1731978.8302525957
2022-04-25,1731850.7042264421
2022-04-26,1742335.9721364458
2022-04-27,1756791.90366263
2022-04-28,1755861.4473409136
2022-04-29,1757805.9877995928
2022-05-02,1770095.9769544085
2022-05-04,1740797.7036395236
2022-05-05,1729025.12921478
2022-05-06,1703517.4949886622
2022-05-09,1703936.5583813014
2022-05-10,1687578.3478481593
2022-05-11,1666036.3013023133
2022-05-12,1648040.5626167054
2022-05-13,1645060.655554175
2022-05-16,1648062.461500525
2022-05-17,1659809.9888862367
2022-05-18,1666931.5754913087
2022-05-19,1680302.1551841493
2022-05-20,1689717.6967109437
2022-05-23,1699261.472414374
2022-05-24,1684434.7601417298
2022-05-25,1665166.987017035
2022-05-26,1669321.3880408998
2022-05-27,1661449.7927230592
2022-05-30,1665685.125765204
2022-05-31,1661954.5919975038
2022-06-01,1669977.2781661744
2022-06-02,1679864.4569839234
2022-06-03,1678534.6525443788
2022-06-06,1691297.0786079164
2022-06-07,1691267.9389976258
2022-06-08,1683757.2222214593
2022-06-09,1695662.0970841302
2022-06-10,1694289.05102929
2022-06-13,1662332.0220261468
