symbol,industry,index_source,turnover_cr,rs_blend_raw,rs_improving,stage,last_close,rs_pctile,tag
NAM-INDIA,Financial Services,midcap150,100.47,1.376,False,2,1112.5,83.38762214983714,WATCH
DYNAMATECH,Capital Goods,microcap250,12.72,1.372,False,2,10458.0,83.22475570032573,WATCH
SCI,Services,smallcap250,65.07,1.371,False,2,275.1000061035156,83.06188925081433,WATCH
NEULANDLAB,Healthcare,smallcap250,72.21,1.369,False,2,18546.0,82.81758957654723,WATCH
EMCURE,Healthcare,smallcap250,25.73,1.369,False,2,1881.0,82.81758957654723,CONFIRMED
SFL,Consumer Durables,microcap250,18.29,1.366,False,2,761.9500122070312,82.57328990228014,WATCH
AVANTIFEED,Fast Moving Consumer Goods,microcap250,52.93,1.364,False,1,977.0499877929688,82.32899022801303,WATCH
UJJIVANSFB,Financial Services,microcap250,185.08,1.364,False,2,70.72000122070312,82.32899022801303,EXTENDED
WELSPUNLIV,Textiles,smallcap250,36.11,1.362,False,2,162.0,82.08469055374593,CONFIRMED
SAREGAMA,Media Entertainment & Publication,smallcap250,33.2,1.359,False,2,496.5,81.92182410423453,WATCH
CCL,Fast Moving Consumer Goods,smallcap250,20.87,1.356,False,2,1183.5999755859375,81.75895765472313,CONFIRMED
POLYCAB,Capital Goods,midcap150,399.28,1.355,False,2,8907.5,81.43322475570032,WATCH
SKIPPER,Capital Goods,microcap250,35.8,1.355,False,2,528.6500244140625,81.43322475570032,WATCH
BALRAMCHIN,Fast Moving Consumer Goods,smallcap250,44.99,1.355,False,2,610.1500244140625,81.43322475570032,CONFIRMED
GODREJIND,Diversified,midcap150,43.75,1.353,False,2,1332.199951171875,81.10749185667753,WATCH
PICCADIL,Fast Moving Consumer Goods,microcap250,23.88,1.35,False,2,737.2000122070312,80.94462540716613,EXTENDED
JSFB,Financial Services,microcap250,64.75,1.346,False,2,536.9500122070312,80.78175895765473,WATCH
AJANTPHARM,Healthcare,midcap150,47.17,1.345,False,2,3369.5,80.61889250814332,CONFIRMED
