symbol,company,industry,index_source
SOLARA,Solara Active Pharma Sciences Limited,,nse_gap
RISHABH,Rishabh Instruments Limited,,nse_gap
RAMKY,Ramky Infrastructure Limited,,nse_gap
TASTYBITE,Tasty Bite Eatables Limited,,nse_gap
RAJRATAN,Rajratan Global Wire Limited,,nse_gap
HUBTOWN,Hubtown Limited,,nse_gap
VEEDOL,Veedol Corporation Limited,,nse_gap
ALEMBICLTD,Alembic Limited,,nse_gap
EVEREADY,Eveready Industries India Limited,,nse_gap
SATIN,Satin Creditcare Network Limited,,nse_gap
PANACEABIO,Panacea Biotec Limited,,nse_gap
PARKHOTELS,Apeejay Surrendra Park Hotels Limited,,nse_gap
INDNIPPON,India Nippon Electricals Limited,,nse_gap
SILVERTUC,Silver Touch Technologies Limited,,nse_gap
COSMOFIRST,COSMO FIRST LIMITED,,nse_gap
ORIENTHOT,Oriental Hotels Limited,,nse_gap
STOVEKRAFT,Stove Kraft Limited,,nse_gap
SUNDROP,Sundrop Brands Limited,,nse_gap
ARKADE,Arkade Developers Limited,,nse_gap
APOLLOPIPE,Apollo Pipes Limited,,nse_gap
SIRCA,Sirca Paints India Limited,,nse_gap
PIXTRANS,Pix Transmissions Limited,,nse_gap
SPAL,S. P. Apparels Limited,,nse_gap
JGCHEM,J.G.Chemicals Limited,,nse_gap
MARATHON,Marathon Nextgen Realty Limited,,nse_gap
MOLDTKPAC,Mold-Tek Packaging Limited,,nse_gap
NELCO,NELCO Limited,,nse_gap
AJMERA,Ajmera Realty & Infra India Limited,,nse_gap
BOMDYEING,Bombay Dyeing & Mfg Company Limited,,nse_gap
PRAKASH,Prakash Industries Limited,,nse_gap
RANEHOLDIN,Rane Holdings Limited,,nse_gap
VERANDA,Veranda Learning Solutions Limited,,nse_gap
REPCOHOME,Repco Home Finance Limited,,nse_gap
PROTEAN,Protean eGov Technologies Limited,,nse_gap
KCP,KCP Limited,,nse_gap
TAJGVK,Taj GVK Hotels & Resorts Limited,,nse_gap
BAJEL,Bajel Projects Limited,,nse_gap
SHK,S H Kelkar and Company Limited,,nse_gap
EMSLIMITED,EMS Limited,,nse_gap
HLEGLAS,HLE Glascoat Limited,,nse_gap
THEJO,Thejo Engineering Limited,,nse_gap
SAKSOFT,Saksoft Limited,,nse_gap
VINCOFE,Vintage Coffee And Beverages Limited,,nse_gap
PENIND,Pennar Industries Limited,,nse_gap
SOMANYCERA,Somany Ceramics Limited,,nse_gap
VENKEYS,Venky's (India) Limited,,nse_gap
SANSTAR,Sanstar Limited,,nse_gap
BHARATRAS,Bharat Rasayan Limited,,nse_gap
LANDMARK,Landmark Cars Limited,,nse_gap
CAMLINFINE,Camlin Fine Sciences Limited,,nse_gap
TCIEXP,TCI Express Limited,,nse_gap
INDIANHUME,Indian Hume Pipe Company Limited,,nse_gap
HINDOILEXP,Hindustan Oil Exploration Company Limited,,nse_gap
WINDLAS,Windlas Biotech Limited,,nse_gap
CANTABIL,Cantabil Retail India Limited,,nse_gap
ARMANFIN,Arman Financial Services Limited,,nse_gap
HPL,HPL Electric & Power Limited,,nse_gap
SHANTIGOLD,Shanti Gold International Limited,,nse_gap
INDOCO,Indoco Remedies Limited,,nse_gap
HESTERBIO,Hester Biosciences Limited,,nse_gap
GMBREW,GM Breweries Limited,,nse_gap
SIMPLEXINF,Simplex Infrastructures Limited,,nse_gap
EPACK,EPACK Durable Limited,,nse_gap
HUHTAMAKI,Huhtamaki India Limited,,nse_gap
GREENPANEL,Greenpanel Industries Limited,,nse_gap
GOCLCORP,GOCL Corporation Limited,,nse_gap
BFUTILITIE,BF Utilities Limited,,nse_gap
DCXINDIA,DCX Systems Limited,,nse_gap
SPANDANA,Spandana Sphoorty Financial Limited,,nse_gap
NUCLEUS,Nucleus Software Exports Limited,,nse_gap
LAOPALA,La Opala RG Limited,,nse_gap
TEAMLEASE,Teamlease Services Limited,,nse_gap
ASIANENE,Asian Energy Services Limited,,nse_gap
TINNARUBR,Tinna Rubber and Infrastructure Limited,,nse_gap
TARSONS,Tarsons Products Limited,,nse_gap
KRSNAA,Krsnaa Diagnostics Limited,,nse_gap
GOCOLORS,Go Fashion (India) Limited,,nse_gap
YATRA,Yatra Online Limited,,nse_gap
RICOAUTO,Rico Auto Industries Limited,,nse_gap
RACLGEAR,RACL Geartech Limited,,nse_gap
5PAISA,5Paisa Capital Limited,,nse_gap
TIRUMALCHM,Thirumalai Chemicals Limited,,nse_gap
KPEL,K.P. Energy Limited,,nse_gap
NDRAUTO,Ndr Auto Components Limited,,nse_gap
CAPACITE,Capacit'e Infraprojects Limited,,nse_gap
GARUDA,Garuda Construction and Engineering Limited,,nse_gap
JINDRILL,Jindal Drilling And Industries Limited,,nse_gap
BFINVEST,BF Investment Limited,,nse_gap
INSECTICID,Insecticides (India) Limited,,nse_gap
SURAKSHA,Suraksha Diagnostic Limited,,nse_gap
AURUM,Aurum PropTech Limited,,nse_gap
SPMLINFRA,SPML Infra Limited,,nse_gap
WENDT,Wendt (India) Limited,,nse_gap
HINDWAREAP,Hindware Home Innovation Limited,,nse_gap
IPL,India Pesticides Limited,,nse_gap
SURYODAY,Suryoday Small Finance Bank Limited,,nse_gap
MOBIKWIK,One Mobikwik Systems Limited,,nse_gap
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,,nse_gap
CLSEL,Chaman Lal Setia Exports Limited,,nse_gap
MBEL,M & B Engineering Limited,,nse_gap
TTKHLTCARE,TTK Healthcare Limited,,nse_gap
DOLLAR,Dollar Industries Limited,,nse_gap
DLINKINDIA,D-Link (India) Limited,,nse_gap
INFOBEAN,InfoBeans Technologies Limited,,nse_gap
IGPL,IG Petrochemicals Limited,,nse_gap
AMRUTANJAN,Amrutanjan Health Care Limited,,nse_gap
IKIO,IKIO Technologies Limited,,nse_gap
DIFFNKG,Diffusion Engineers Limited,,nse_gap
AYMSYNTEX,AYM Syntex Limited,,nse_gap
ASALCBR,Associated Alcohols & Breweries Ltd.,,nse_gap
BHARATSE,Bharat Seats Limited,,nse_gap
GPTINFRA,GPT Infraprojects Limited,,nse_gap
UDS,Updater Services Limited,,nse_gap
SIGNPOST,Signpost India Limited,,nse_gap
SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited,,nse_gap
RGL,Renaissance Global Limited,,nse_gap
IZMO,IZMO Limited,,nse_gap
TEXINFRA,Texmaco Infrastructure & Holdings Limited,,nse_gap
GALAPREC,Gala Precision Engineering Limited,,nse_gap
ATULAUTO,Atul Auto Limited,,nse_gap
EXPLEOSOL,Expleo Solutions Limited,,nse_gap
INDOBORAX,Indo Borax & Chemicals Limited,,nse_gap
QUADFUTURE,Quadrant Future Tek Limited,,nse_gap
IGARASHI,Igarashi Motors India Limited,,nse_gap
ANDHRSUGAR,The Andhra Sugars Limited,,nse_gap
MANAKCOAT,Manaksia Coated Metals & Industries Limited,,nse_gap
ASTEC,Astec LifeSciences Limited,,nse_gap
KROSS,Kross Limited,,nse_gap
ALLTIME,All Time Plastics Limited,,nse_gap
BHARATWIRE,Bharat Wire Ropes Limited,,nse_gap
EKC,Everest Kanto Cylinder Limited,,nse_gap
EIMCOELECO,Eimco Elecon (India) Limited,,nse_gap
GODAVARIB,Godavari Biorefineries Limited,,nse_gap
APEX,Apex Frozen Foods Limited,,nse_gap
CENTENKA,Century Enka Limited,,nse_gap
PRECAM,Precision Camshafts Limited,,nse_gap
GPTHEALTH,GPT Healthcare Limited,,nse_gap
UTTAMSUGAR,Uttam Sugar Mills Limited,,nse_gap
SULA,Sula Vineyards Limited,,nse_gap
LINCOLN,Lincoln Pharmaceuticals Limited,,nse_gap
FINOPB,Fino Payments Bank Limited,,nse_gap
RUPA,Rupa & Company Limited,,nse_gap
MUNJALAU,Munjal Auto Industries Limited,,nse_gap
GHCLTEXTIL,GHCL Textiles Limited,,nse_gap
FAZE3Q,Faze Three Limited,,nse_gap
RIIL,Reliance Industrial Infrastructure Limited,,nse_gap
ALICON,Alicon Castalloy Limited,,nse_gap
GULPOLY,Gulshan Polyols Limited,,nse_gap
THEMISMED,Themis Medicare Limited,,nse_gap
BIRLANU,BirlaNu Limited,,nse_gap
IRMENERGY,IRM Energy Limited,,nse_gap
MONTECARLO,Monte Carlo Fashions Limited,,nse_gap
PLATIND,Platinum Industries Limited,,nse_gap
ICEMAKE,Ice Make Refrigeration Limited,,nse_gap
ORIENTTECH,Orient Technologies Limited,,nse_gap
AWHCL,Antony Waste Handling Cell Limited,,nse_gap
TNPETRO,Tamilnadu PetroProducts Limited,,nse_gap
ARIS,Arisinfra Solutions Limited,,nse_gap
BAJAJHCARE,Bajaj Healthcare Limited,,nse_gap
HARIOMPIPE,Hariom Pipe Industries Limited,,nse_gap
NAHARSPING,Nahar Spinning Mills Limited,,nse_gap
SRM,SRM Contractors Limited,,nse_gap
MATRIMONY,Matrimony.Com Limited,,nse_gap
LAXMIDENTL,Laxmi Dental Limited,,nse_gap
KOPRAN,Kopran Limited,,nse_gap
MAMATA,Mamata Machinery Limited,,nse_gap
DAMCAPITAL,Dam Capital Advisors Limited,,nse_gap
NELCAST,Nelcast Limited,,nse_gap
