symbol,company,industry,index_source
RHIM,RHI MAGNESITA INDIA LTD.,Capital Goods,smallcap250
RITES,RITES Ltd.,Construction,smallcap250
RAILTEL,Railtel Corporation Of India Ltd.,Telecommunication,smallcap250
RAINBOW,Rainbow Childrens Medicare Ltd.,Healthcare,smallcap250
RKFORGE,Ramkrishna Forgings Ltd.,Automobile and Auto Components,smallcap250
REDINGTON,Redington Ltd.,Services,smallcap250
RPOWER,Reliance Power Ltd.,Power,smallcap250
SBFC,SBFC Finance Ltd.,Financial Services,smallcap250
SAGILITY,Sagility Ltd.,Information Technology,smallcap250
SAILIFE,Sai Life Sciences Ltd.,Healthcare,smallcap250
SAMMAANCAP,Sammaan Capital Ltd.,Financial Services,smallcap250
SAPPHIRE,Sapphire Foods India Ltd.,Consumer Services,smallcap250
SARDAEN,Sarda Energy and Minerals Ltd.,Metals & Mining,smallcap250
SAREGAMA,Saregama India Ltd,Media Entertainment & Publication,smallcap250
SCHNEIDER,Schneider Electric Infrastructure Ltd.,Capital Goods,smallcap250
SCI,Shipping Corporation of India Ltd.,Services,smallcap250
SHYAMMETL,Shyam Metalics and Energy Ltd.,Capital Goods,smallcap250
SIGNATURE,Signatureglobal (India) Ltd.,Realty,smallcap250
SOBHA,Sobha Ltd.,Realty,smallcap250
SONACOMS,Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,smallcap250
SONATSOFTW,Sonata Software Ltd.,Information Technology,smallcap250
STARHEALTH,Star Health and Allied Insurance Company Ltd.,Financial Services,smallcap250
SUMICHEM,Sumitomo Chemical India Ltd.,Chemicals,smallcap250
SUNTV,Sun TV Network Ltd.,Media Entertainment & Publication,smallcap250
SPLPETRO,Supreme Petrochem Ltd.,Chemicals,smallcap250
SWANCORP,Swan Corp Ltd.,Chemicals,smallcap250
SYNGENE,Syngene International Ltd.,Healthcare,smallcap250
SYRMA,Syrma SGS Technology Ltd.,Capital Goods,smallcap250
TBOTEK,TBO Tek Ltd.,Consumer Services,smallcap250
TATACHEM,Tata Chemicals Ltd.,Chemicals,smallcap250
TATATECH,Tata Technologies Ltd.,Information Technology,smallcap250
TTML,Tata Teleservices (Maharashtra) Ltd.,Telecommunication,smallcap250
TECHNOE,Techno Electric & Engineering Company Ltd.,Construction,smallcap250
TEGA,Tega Industries Ltd.,Capital Goods,smallcap250
TEJASNET,Tejas Networks Ltd.,Telecommunication,smallcap250
TENNIND,Tenneco Clean Air India Ltd.,Automobile and Auto Components,smallcap250
RAMCOCEM,The Ramco Cements Ltd.,Construction Materials,smallcap250
TIMKEN,Timken India Ltd.,Capital Goods,smallcap250
TITAGARH,Titagarh Rail Systems Ltd.,Capital Goods,smallcap250
TARIL,Transformers And Rectifiers (India) Ltd.,Capital Goods,smallcap250
TRAVELFOOD,Travel Food Services Ltd.,Consumer Services,smallcap250
TRIDENT,Trident Ltd.,Textiles,smallcap250
TRITURBINE,Triveni Turbine Ltd.,Capital Goods,smallcap250
UCOBANK,UCO Bank,Financial Services,smallcap250
UTIAMC,UTI Asset Management Company Ltd.,Financial Services,smallcap250
URBANCO,Urban Company Ltd.,Consumer Services,smallcap250
USHAMART,Usha Martin Ltd.,Capital Goods,smallcap250
VTL,Vardhman Textiles Ltd.,Textiles,smallcap250
VIJAYA,Vijaya Diagnostic Centre Ltd.,Healthcare,smallcap250
WELCORP,Welspun Corp Ltd.,Capital Goods,smallcap250
WELSPUNLIV,Welspun Living Ltd.,Textiles,smallcap250
WHIRLPOOL,Whirlpool of India Ltd.,Consumer Durables,smallcap250
WOCKPHARMA,Wockhardt Ltd.,Healthcare,smallcap250
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Ltd.,Automobile and Auto Components,smallcap250
ZEEL,Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,smallcap250
ZENTEC,Zen Technologies Ltd.,Capital Goods,smallcap250
ZENSARTECH,Zensar Technolgies Ltd.,Information Technology,smallcap250
ZYDUSWELL,Zydus Wellness Ltd.,Fast Moving Consumer Goods,smallcap250
ECLERX,eClerx Services Ltd.,Services,smallcap250
360ONE,360 ONE WAM Ltd.,Financial Services,midcap150
3MINDIA,3M India Ltd.,Diversified,midcap150
ACC,ACC Ltd.,Construction Materials,midcap150
AIAENG,AIA Engineering Ltd.,Capital Goods,midcap150
APLAPOLLO,APL Apollo Tubes Ltd.,Capital Goods,midcap150
AUBANK,AU Small Finance Bank Ltd.,Financial Services,midcap150
AWL,AWL Agri Business Ltd.,Fast Moving Consumer Goods,midcap150
ABBOTINDIA,Abbott India Ltd.,Healthcare,midcap150
ATGL,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,midcap150
ABCAPITAL,Aditya Birla Capital Ltd.,Financial Services,midcap150
AJANTPHARM,Ajanta Pharmaceuticals Ltd.,Healthcare,midcap150
ALKEM,Alkem Laboratories Ltd.,Healthcare,midcap150
