symbol,market_cap_cr,current_price,pe,roce_pct,roe_pct,book_value,sales_growth_ttm,sales_growth_3y,sales_growth_5y,profit_growth_ttm,profit_growth_3y,profit_growth_5y,np_latest_q,np_yoy_q,loss_to_profit,opm_latest_q,opm_yoy_q,np_yoy_streak,opm_yoy_streak,sales_latest_q,sales_yoy_q,sales_yoy_pct,sales_yoy_streak,debt_cr,debt_3y_ago_cr,debt_to_equity,cfo_last_cr,equity_cap_now,equity_cap_3y_ago,reserves_now,reserves_3y_ago,shares_out_cr,promoter_pct,promoter_pct_4q_ago,fii_pct,fii_pct_4q_ago,dii_pct,dii_pct_4q_ago,pledge_pct,fetched_at,source
SHYAMMETL,30699.0,1100.0,27.3,13.0,9.7,413.0,23.0,14.0,24.0,22.0,9.0,5.0,351.0,291.0,False,14.0,13.0,5.0,2.0,5455.0,4419.0,23.4,9.0,1005.0,1172.0,0.09,2024.0,278.0,255.0,11245.0,7021.0,27.8,74.59,74.59,2.97,3.65,13.75,8.64,,2026-08-30T10:12:07,https://www.screener.in/company/SHYAMMETL/consolidated/
WELCORP,62619.0,2374.0,27.1,22.9,19.4,347.0,20.0,20.0,19.0,42.0,119.0,21.0,1048.0,349.0,False,17.0,15.0,1.0,1.0,4081.0,3551.0,14.9,5.0,2355.0,3381.0,0.26,3204.0,132.0,131.0,9024.0,4582.0,26.4,49.73,49.77,14.61,11.79,19.96,20.89,,2026-08-30T10:12:11,https://www.screener.in/company/WELCORP/consolidated/
PHOENIXLTD,68564.0,1917.0,52.9,12.8,11.6,307.0,18.0,19.0,34.0,32.0,14.0,83.0,394.0,321.0,False,60.0,59.0,5.0,4.0,1075.0,953.0,12.8,5.0,5323.0,4259.0,0.48,2426.0,72.0,36.0,10917.0,8344.0,36.0,47.25,47.25,31.73,33.45,17.38,15.47,,2026-08-30T10:12:14,https://www.screener.in/company/PHOENIXLTD/consolidated/
SCHNEIDER,28737.0,1202.0,148.0,29.6,38.2,28.8,10.0,18.0,17.0,-22.0,27.0,80.0,12.0,41.0,False,5.0,11.0,0.0,0.0,651.0,622.0,4.7,9.0,633.0,618.0,0.92,224.0,48.0,48.0,642.0,19.0,24.0,75.0,75.0,3.42,3.08,4.65,3.28,,2026-08-30T10:12:19,https://www.screener.in/company/SCHNEIDER/
JSWENERGY,98146.0,535.0,48.9,8.16,7.51,175.0,35.0,22.0,22.0,-8.0,19.0,23.0,533.0,836.0,False,55.0,54.0,0.0,5.0,5207.0,5143.0,1.2,6.0,76946.0,25051.0,2.5,9898.0,1756.0,1641.0,28995.0,16988.0,175.6,66.53,69.26,11.41,12.12,16.16,11.56,,2026-08-30T10:12:22,https://www.screener.in/company/JSWENERGY/consolidated/
KIMS,32382.0,771.0,155.0,9.5,11.3,56.2,31.0,21.0,24.0,-43.0,-9.0,4.0,37.0,85.0,False,19.0,22.0,0.0,0.0,1180.0,872.0,35.3,9.0,4253.0,678.0,1.89,511.0,80.0,80.0,2167.0,1590.0,40.0,32.49,34.11,14.75,15.03,34.42,32.12,,2026-08-30T10:12:25,https://www.screener.in/company/KIMS/consolidated/
USHAMART,15007.0,492.0,27.5,19.5,15.1,108.0,9.0,4.0,12.0,35.0,9.0,25.0,142.0,101.0,False,20.0,16.0,4.0,4.0,1033.0,887.0,16.5,9.0,229.0,417.0,0.07,655.0,31.0,31.0,3271.0,2000.0,31.0,40.28,41.75,15.1,14.14,15.26,12.29,,2026-08-30T10:12:29,https://www.screener.in/company/USHAMART/consolidated/
ATHERENERG,64025.0,1616.0,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,39.58,40.86,16.77,17.45,29.82,28.1,,2026-08-30T10:12:32,https://www.screener.in/company/ATHERENERG/consolidated/
AETHER,22521.0,1697.0,93.9,11.9,9.66,185.0,34.0,21.0,,30.0,20.0,,63.0,47.0,False,31.0,32.0,7.0,0.0,327.0,257.0,27.2,9.0,458.0,16.0,0.19,142.0,133.0,125.0,2323.0,1120.0,13.3,74.92,74.99,7.42,4.64,10.49,12.97,,2026-08-30T10:12:35,https://www.screener.in/company/AETHER/consolidated/
TIPSMUSIC,8284.0,648.0,38.6,118.0,87.6,20.3,21.0,26.0,33.0,27.0,39.0,37.0,44.0,46.0,False,50.0,64.0,0.0,0.0,107.0,88.0,21.6,9.0,5.0,4.0,0.02,197.0,13.0,13.0,247.0,123.0,13.0,64.15,64.15,7.99,8.16,5.36,5.03,,2026-08-30T10:12:40,https://www.screener.in/company/TIPSMUSIC/
AEGISLOG,45258.0,1289.0,36.2,13.3,16.3,173.0,30.0,-1.0,17.0,89.0,24.0,31.0,545.0,175.0,False,30.0,14.0,9.0,1.0,2357.0,1719.0,37.1,5.0,4150.0,1924.0,0.69,2028.0,35.0,35.0,6020.0,3497.0,35.0,58.1,58.1,19.54,16.88,3.6,6.25,,2026-08-30T10:12:43,https://www.screener.in/company/AEGISLOG/consolidated/
LLOYDSENT,11207.0,73.5,98.3,3.67,0.33,27.7,33.0,67.0,366.0,-59.0,-40.0,162.0,110.0,249.0,False,16.0,7.0,0.0,2.0,563.0,331.0,70.1,6.0,798.0,70.0,0.19,-361.0,151.0,127.0,3992.0,891.0,151.0,62.72,62.72,0.65,0.59,0.11,0.12,,2026-08-30T10:12:46,https://www.screener.in/company/LLOYDSENT/consolidated/
CAPLIPOINT,19134.0,2517.0,28.8,24.6,20.6,472.0,15.0,14.0,16.0,18.0,20.0,22.0,179.0,151.0,False,35.0,35.0,9.0,0.0,610.0,510.0,19.6,9.0,5.0,222.0,0.0,523.0,15.0,15.0,3571.0,1649.0,7.5,70.57,70.57,5.76,6.51,2.49,2.1,,2026-08-30T10:12:50,https://www.screener.in/company/CAPLIPOINT/consolidated/
BELRISE,22232.0,230.0,43.6,14.5,12.6,58.7,12.0,13.0,,29.0,17.0,,122.0,112.0,False,12.0,12.0,6.0,0.0,2546.0,2262.0,12.6,6.0,1521.0,2353.0,0.29,876.0,445.0,20.0,4781.0,2024.0,89.0,61.14,66.46,12.09,8.9,13.12,9.27,,2026-08-30T10:12:53,https://www.screener.in/company/BELRISE/consolidated/
VTL,17159.0,593.0,20.2,8.55,6.86,363.0,3.0,-1.0,10.0,0.0,-4.0,11.0,315.0,208.0,False,18.0,14.0,1.0,2.0,2703.0,2386.0,13.3,1.0,1855.0,1678.0,0.18,1108.0,57.0,57.0,10457.0,8507.0,28.5,65.08,64.21,6.07,5.75,14.69,16.43,,2026-08-30T10:12:56,https://www.screener.in/company/VTL/consolidated/
RATEGAIN,11064.0,934.0,42.3,13.9,11.9,170.0,114.0,48.0,49.0,24.0,48.0,55.0,95.0,47.0,False,22.0,18.0,2.0,1.0,785.0,273.0,187.5,9.0,949.0,18.0,0.47,234.0,12.0,11.0,1994.0,699.0,12.0,48.78,48.16,5.75,5.49,20.86,21.58,,2026-08-30T10:13:00,https://www.screener.in/company/RATEGAIN/consolidated/
SENCO,5816.0,355.0,10.2,21.2,25.6,153.0,43.0,27.0,26.0,168.0,54.0,56.0,101.0,105.0,False,7.0,10.0,0.0,0.0,3056.0,1826.0,67.4,9.0,2699.0,1402.0,1.07,-789.0,82.0,56.0,2432.0,876.0,16.4,64.48,64.39,6.88,8.81,13.54,11.58,,2026-08-30T10:13:03,https://www.screener.in/company/SENCO/consolidated/
IFCI,24238.0,90.0,135.0,5.03,2.09,33.2,5.0,7.0,0.0,-44.0,42.0,16.0,60.0,62.0,False,26.0,22.0,0.0,1.0,,,,,,,,280.0,2694.0,2196.0,6250.0,1571.0,269.4,72.57,72.57,3.5,2.6,1.66,1.62,,2026-08-30T10:13:06,https://www.screener.in/company/IFCI/consolidated/
NAVINFLUOR,43707.0,8518.0,55.0,21.0,19.6,775.0,42.0,17.0,23.0,124.0,21.0,21.0,243.0,117.0,False,34.0,29.0,7.0,7.0,1045.0,725.0,44.1,9.0,1272.0,861.0,0.32,894.0,10.0,10.0,3964.0,2175.0,5.0,27.08,27.11,23.73,22.15,28.46,29.57,,2026-08-30T10:13:09,https://www.screener.in/company/NAVINFLUOR/consolidated/
TVSSCS,5805.0,132.0,81.9,10.1,9.7,46.1,17.0,3.0,10.0,-37.0,71.0,29.0,22.0,71.0,False,7.0,7.0,0.0,0.0,3335.0,2592.0,28.7,9.0,2755.0,3324.0,1.36,746.0,44.0,36.0,1989.0,687.0,44.0,43.03,43.03,2.38,3.48,2.17,2.31,31.9,2026-08-30T10:13:12,https://www.screener.in/company/TVSSCS/consolidated/
AIAENG,39514.0,4234.0,31.1,21.1,17.0,860.0,6.0,-3.0,9.0,15.0,7.0,19.0,301.0,305.0,False,26.0,29.0,0.0,0.0,1168.0,1039.0,12.4,6.0,10.0,503.0,0.0,592.0,19.0,19.0,8007.0,5672.0,9.5,58.5,58.5,16.87,16.66,22.1,22.18,,2026-08-30T10:13:16,https://www.screener.in/company/AIAENG/consolidated/
AVL,7629.0,591.0,54.4,17.1,18.7,53.3,27.0,26.0,29.0,30.0,23.0,42.0,77.0,55.0,False,10.0,10.0,9.0,0.0,1193.0,940.0,26.9,9.0,573.0,418.0,0.83,75.0,13.0,12.0,676.0,124.0,13.0,47.14,47.32,15.05,18.76,21.67,16.46,,2026-08-30T10:13:20,https://www.screener.in/company/AVL/
KRN,10537.0,1610.0,109.0,16.1,14.3,92.4,64.0,,,82.0,,,33.0,12.0,False,19.0,15.0,4.0,3.0,252.0,115.0,119.1,8.0,187.0,,0.33,-114.0,62.0,,512.0,,6.2,65.69,70.79,8.86,5.46,8.33,6.21,,2026-08-30T10:13:24,https://www.screener.in/company/KRN/consolidated/
GESHIP,19125.0,1340.0,5.1,15.8,15.9,1188.0,24.0,-2.0,10.0,126.0,0.0,24.0,1309.0,504.0,False,67.0,54.0,4.0,4.0,2005.0,1201.0,66.9,3.0,1087.0,3649.0,0.06,2854.0,143.0,143.0,16820.0,10133.0,14.3,30.08,30.08,31.03,24.88,12.81,15.84,,2026-08-30T10:13:27,https://www.screener.in/company/GESHIP/consolidated/
GODREJIND,39327.0,1168.0,32.7,8.17,9.26,332.0,17.0,10.0,19.0,19.0,5.0,26.0,523.0,725.0,False,11.0,9.0,0.0,2.0,5448.0,4460.0,22.2,8.0,51564.0,19642.0,4.61,-8855.0,34.0,34.0,11143.0,7951.0,34.0,74.64,71.31,4.56,5.12,3.47,2.77,,2026-08-30T10:13:30,https://www.screener.in/company/GODREJIND/consolidated/
SAIL,82611.0,200.0,17.1,7.79,6.43,146.0,6.0,2.0,10.0,59.0,25.0,-2.0,1644.0,745.0,False,16.0,11.0,3.0,2.0,26246.0,25922.0,1.2,7.0,31928.0,30773.0,0.53,19039.0,4131.0,4131.0,56225.0,50616.0,413.1,65.0,65.0,7.09,3.76,16.87,18.1,,2026-08-30T10:13:34,https://www.screener.in/company/SAIL/consolidated/
QUESS,5560.0,372.0,21.5,24.0,21.3,78.1,5.0,-4.0,7.0,22.0,9.0,39.0,82.0,51.0,False,2.0,1.9,5.0,6.0,4182.0,3651.0,14.5,2.0,124.0,1011.0,0.11,230.0,149.0,148.0,1017.0,2421.0,14.9,56.82,56.92,8.58,14.11,11.86,9.77,,2026-08-30T10:13:37,https://www.screener.in/company/QUESS/consolidated/
ANTHEM,50695.0,900.0,85.4,30.4,22.3,54.2,-2.0,26.0,14.0,18.0,21.0,17.0,120.0,136.0,False,36.0,35.0,0.0,4.0,418.0,540.0,-22.6,0.0,54.0,126.0,0.02,844.0,112.0,114.0,2930.0,1627.0,56.0,71.42,74.69,2.57,1.66,13.48,7.21,,2026-08-30T10:13:40,https://www.screener.in/company/ANTHEM/consolidated/
CREDITACC,22330.0,1392.0,18.4,9.98,10.5,490.0,12.0,20.0,20.0,524.0,-2.0,42.0,493.0,60.0,False,38.0,7.0,3.0,3.0,,,,,,,,-2770.0,160.0,159.0,7682.0,4948.0,16.0,66.21,66.37,13.48,12.29,12.67,13.33,,2026-08-30T10:13:44,https://www.screener.in/company/CREDITACC/consolidated/
SAILIFE,31529.0,1485.0,85.7,19.6,15.4,117.0,18.0,22.0,24.0,51.0,226.0,42.0,73.0,60.0,False,27.0,24.0,7.0,5.0,554.0,496.0,11.7,7.0,288.0,933.0,0.12,509.0,21.0,18.0,2463.0,870.0,21.0,34.53,34.95,19.65,22.5,32.71,29.92,,2026-08-30T10:13:47,https://www.screener.in/company/SAILIFE/consolidated/
SAREGAMA,9502.0,493.0,41.6,17.3,12.7,87.8,-11.0,10.0,17.0,14.0,4.0,13.0,52.0,37.0,False,35.0,27.0,2.0,6.0,264.0,207.0,27.5,2.0,73.0,1.0,0.04,100.0,19.0,19.0,1673.0,1323.0,19.0,60.84,59.65,11.5,16.82,8.6,5.16,,2026-08-30T10:13:50,https://www.screener.in/company/SAREGAMA/consolidated/
SUPRIYA,6472.0,804.0,32.6,25.1,19.1,149.0,28.0,22.0,16.0,12.0,33.0,11.0,24.0,35.0,False,25.0,36.0,0.0,0.0,190.0,145.0,31.0,4.0,5.0,22.0,0.0,165.0,16.0,16.0,1182.0,683.0,8.0,68.3,68.3,6.18,5.46,5.3,5.22,,2026-08-30T10:13:55,https://www.screener.in/company/SUPRIYA/
AARTIPHARM,7623.0,841.0,35.4,10.7,8.59,234.0,1.0,-2.0,,-19.0,-3.0,,76.0,50.0,False,25.0,24.0,1.0,1.0,536.0,386.0,38.9,2.0,754.0,215.0,0.35,262.0,45.0,45.0,2079.0,1513.0,9.0,42.86,42.88,8.17,8.02,7.22,6.95,,2026-08-30T10:13:58,https://www.screener.in/company/AARTIPHARM/consolidated/
MCX,84963.0,3332.0,55.1,71.3,56.3,1.12,110.0,-64.0,-43.0,136.0,-55.0,-41.0,413.0,203.0,False,70.0,65.0,9.0,5.0,702.0,373.0,88.2,9.0,0.0,2.0,0.0,30.0,0.51,51.0,28.0,1428.0,0.26,,,29.85,19.0,50.8,60.5,,2026-08-30T10:14:02,https://www.screener.in/company/MCX/consolidated/
PICCADIL,6420.0,651.0,45.7,18.0,17.4,91.4,29.0,20.0,16.0,30.0,83.0,50.0,21.0,18.0,False,17.0,18.0,5.0,0.0,251.0,214.0,17.3,5.0,531.0,154.0,0.59,118.0,99.0,95.0,802.0,137.0,9.9,68.56,68.62,0.81,0.95,0.88,0.97,,2026-08-30T10:14:05,https://www.screener.in/company/PICCADIL/consolidated/
GABRIEL,24238.0,1368.0,67.3,25.6,20.2,95.3,19.0,,,23.0,,,108.0,105.0,False,9.0,10.0,2.0,0.0,1426.0,1234.0,15.6,9.0,148.0,,0.11,345.0,14.0,,1354.0,,14.0,63.55,55.0,6.35,6.5,12.92,15.74,,2026-08-30T10:14:08,https://www.screener.in/company/GABRIEL/consolidated/
NAZARA,14377.0,375.0,,27.2,30.5,93.8,-6.0,19.0,32.0,-267.0,194.0,155.0,-82.0,51.0,False,-9.0,4.7,0.0,0.0,429.0,499.0,-14.0,0.0,215.0,38.0,0.06,149.0,74.0,26.0,3399.0,1078.0,37.0,33.98,35.45,15.51,11.98,2.47,3.62,87.0,2026-08-30T10:14:12,https://www.screener.in/company/NAZARA/consolidated/
IMFA,7395.0,1371.0,14.1,18.4,16.8,504.0,24.0,2.0,9.0,46.0,22.0,22.0,193.0,93.0,False,29.0,20.0,3.0,3.0,960.0,642.0,49.5,4.0,958.0,341.0,0.35,318.0,54.0,54.0,2664.0,1819.0,5.4,58.69,58.69,3.59,3.69,0.88,0.21,,2026-08-30T10:14:15,https://www.screener.in/company/IMFA/consolidated/
GLENMARK,70980.0,2515.0,22.7,39.8,23.6,372.0,33.0,14.0,9.0,134.0,61.0,19.0,483.0,47.0,False,20.0,18.0,4.0,4.0,4018.0,3264.0,23.1,9.0,594.0,4608.0,0.06,3445.0,28.0,28.0,10484.0,9446.0,28.0,46.65,46.64,20.89,20.73,18.6,18.61,,2026-08-30T10:14:18,https://www.screener.in/company/GLENMARK/consolidated/
NEULANDLAB,29395.0,22905.0,59.0,26.5,21.2,1461.0,78.0,19.0,17.0,278.0,30.0,39.0,148.0,14.0,False,35.0,12.0,2.0,2.0,642.0,293.0,119.1,4.0,301.0,128.0,0.16,347.0,13.0,13.0,1862.0,981.0,1.3,32.62,32.64,21.08,20.6,16.52,13.55,,2026-08-24T14:01:06,https://www.screener.in/company/NEULANDLAB/consolidated/
KAJARIACER,19096.0,1214.0,33.1,23.4,17.9,192.0,9.0,3.0,12.0,64.0,14.0,11.0,171.0,110.0,False,20.0,17.0,5.0,5.0,1328.0,1103.0,20.4,9.0,229.0,250.0,0.07,664.0,16.0,16.0,3050.0,2311.0,16.0,47.69,47.61,11.58,11.57,26.24,26.0,,2026-08-25T14:01:52,https://www.screener.in/company/KAJARIACER/consolidated/
DIACABS,20264.0,339.0,103.0,26.5,,-11.5,93.0,,,417.0,,,58.0,16.0,False,11.0,10.0,4.0,4.0,690.0,302.0,128.5,9.0,2536.0,1606.0,,-80.0,53.0,270.0,-657.0,385.0,53.0,84.02,84.02,1.77,1.42,0.23,0.1,,2026-08-25T14:02:10,https://www.screener.in/company/DIACABS/consolidated/
SOUTHBANK,12133.0,46.3,8.03,6.42,13.5,45.1,7.0,11.0,6.0,14.0,23.0,88.0,378.0,322.0,False,5.0,-8.0,9.0,2.0,,,,,,,,3907.0,262.0,209.0,11155.0,6465.0,262.0,,,25.39,17.91,14.24,11.92,,2026-08-26T14:04:34,https://www.screener.in/company/SOUTHBANK/consolidated/
LTFOODS,15257.0,439.0,23.8,17.7,14.9,130.0,28.0,16.0,19.0,3.0,16.0,18.0,183.0,168.0,False,11.0,11.0,1.0,0.0,3152.0,2464.0,27.9,9.0,1610.0,1221.0,0.36,910.0,35.0,35.0,4486.0,2722.0,35.0,51.0,51.0,8.21,10.12,10.84,8.34,,2026-08-28T23:04:04,https://www.screener.in/company/LTFOODS/consolidated/
SHILPAMED,15939.0,815.0,56.0,10.9,8.99,132.0,28.0,14.0,11.0,117.0,107.0,17.0,101.0,47.0,False,29.0,28.0,5.0,5.0,466.0,321.0,45.2,9.0,660.0,798.0,0.25,342.0,20.0,9.0,2572.0,1775.0,20.0,40.13,44.23,11.39,10.92,8.05,7.67,,2026-08-23T05:08:34,https://www.screener.in/company/SHILPAMED/consolidated/
LAURUSLABS,97364.0,1802.0,89.0,17.8,18.3,98.2,23.0,4.0,7.0,115.0,4.0,-2.0,362.0,162.0,False,32.0,24.0,7.0,7.0,2026.0,1570.0,29.0,7.0,2518.0,2015.0,0.48,1624.0,108.0,108.0,5192.0,3930.0,54.0,27.47,27.6,28.0,26.17,13.73,11.72,,2026-08-23T05:08:31,https://www.screener.in/company/LAURUSLABS/consolidated/
CEMPRO,21927.0,1276.0,36.4,32.8,27.8,140.0,9.0,25.0,30.0,47.0,68.0,112.0,141.0,137.0,False,10.0,9.0,9.0,3.0,2721.0,2576.0,5.6,9.0,1001.0,766.0,0.42,500.0,17.0,17.0,2382.0,1220.0,17.0,67.46,67.46,7.26,8.36,2.86,0.72,,2026-08-23T05:10:02,https://www.screener.in/company/CEMPRO/consolidated/
APOLLO,14290.0,385.0,118.0,14.5,11.8,36.8,69.0,45.0,35.0,83.0,76.0,62.0,25.0,18.0,False,21.0,31.0,9.0,0.0,251.0,134.0,87.3,9.0,543.0,144.0,0.41,-130.0,36.0,21.0,1277.0,363.0,36.0,49.98,50.33,7.59,8.94,1.71,1.45,30.5,2026-08-23T05:09:11,https://www.screener.in/company/APOLLO/consolidated/
KTKBANK,11727.0,310.0,8.16,6.06,10.4,350.0,0.0,7.0,7.0,23.0,4.0,22.0,419.0,292.0,False,8.0,-0.0,3.0,2.0,,,,,,,,1100.0,378.0,312.0,12846.0,7900.0,37.8,,,13.1,14.6,15.75,16.11,,2026-08-09T05:33:16,https://www.screener.in/company/KTKBANK/consolidated/
RADICO,62165.0,4640.0,87.5,24.2,20.3,248.0,19.0,24.0,21.0,76.0,41.0,17.0,230.0,131.0,False,21.0,15.0,9.0,8.0,1684.0,1506.0,11.8,9.0,498.0,754.0,0.15,743.0,27.0,27.0,3289.0,2181.0,13.5,40.19,40.21,18.2,18.0,28.08,25.48,,2026-08-23T05:09:50,https://www.screener.in/company/RADICO/consolidated/
JINDALSAW,18651.0,292.0,28.5,10.4,8.2,197.0,-9.0,0.0,11.0,-62.0,14.0,25.0,91.0,415.0,False,9.0,16.0,0.0,0.0,4452.0,4085.0,9.0,1.0,4691.0,4961.0,0.37,1771.0,64.0,64.0,12510.0,7857.0,64.0,63.25,63.25,13.08,15.35,8.36,4.35,,2026-08-23T05:05:14,https://www.screener.in/company/JINDALSAW/consolidated/
SONACOMS,51010.0,818.0,70.2,14.2,11.3,96.2,40.0,19.0,23.0,20.0,18.0,24.0,179.0,122.0,False,23.0,24.0,2.0,0.0,1301.0,854.0,52.3,4.0,442.0,295.0,0.07,659.0,622.0,585.0,5361.0,1705.0,62.2,28.01,28.02,23.61,23.47,41.6,40.13,,2026-08-09T05:38:43,https://www.screener.in/company/SONACOMS/consolidated/
LLOYDSENGG,13940.0,90.0,62.3,16.1,15.1,12.0,54.0,,,70.0,,,68.0,30.0,False,13.0,12.0,5.0,1.0,527.0,217.0,142.9,5.0,109.0,,0.07,-253.0,144.0,,1527.0,,144.0,41.92,49.26,2.02,1.93,0.29,0.16,,2026-08-23T05:04:53,https://www.screener.in/company/LLOYDSENGG/consolidated/
GRANULES,21265.0,858.0,32.7,15.5,13.8,205.0,25.0,6.0,11.0,36.0,5.0,2.0,180.0,113.0,False,23.0,20.0,4.0,3.0,1477.0,1210.0,22.1,6.0,1512.0,1136.0,0.3,793.0,25.0,24.0,5060.0,2811.0,25.0,38.01,38.81,17.5,14.09,16.11,17.91,,2026-08-23T05:04:28,https://www.screener.in/company/GRANULES/consolidated/
SPARC,6919.0,213.0,4.42,164.0,279.0,41.3,2518.0,99.0,,557.0,108.0,,1761.0,-60.0,True,96.0,-196.0,1.0,1.0,1853.0,27.0,6763.0,1.0,559.0,16.0,0.42,-239.0,32.0,32.0,1306.0,480.0,32.0,65.68,65.67,3.9,1.76,0.09,1.05,,2026-08-09T05:38:32,https://www.screener.in/company/SPARC/consolidated/
NATIONALUM,64291.0,350.0,9.52,39.6,29.4,118.0,9.0,8.0,15.0,18.0,59.0,35.0,2003.0,1049.0,False,51.0,39.0,1.0,1.0,5302.0,3807.0,39.3,1.0,60.0,105.0,0.0,6438.0,918.0,918.0,20685.0,12208.0,183.6,51.28,51.28,21.99,16.22,11.22,15.45,,2026-08-02T07:22:46,https://www.screener.in/company/NATIONALUM/consolidated/
VARROC,13161.0,861.0,46.1,19.0,15.1,117.0,15.0,9.0,15.0,51.0,32.0,19.0,78.0,107.0,False,8.0,10.0,0.0,0.0,2634.0,2028.0,29.9,9.0,925.0,1806.0,0.52,537.0,15.0,15.0,1765.0,961.0,15.0,75.0,75.0,4.29,4.3,11.18,12.75,,2026-08-17T06:10:11,https://www.screener.in/company/VARROC/consolidated/
REDINGTON,27741.0,355.0,15.4,18.4,16.9,130.0,23.0,15.0,16.0,42.0,5.0,16.0,453.0,233.0,False,2.0,1.5,1.0,1.0,34922.0,25952.0,34.6,9.0,2842.0,3321.0,0.28,231.0,156.0,156.0,10004.0,6771.0,78.0,,,61.96,61.81,16.37,16.97,,2026-08-09T05:48:31,https://www.screener.in/company/REDINGTON/consolidated/
J&KBANK,17535.0,159.0,7.61,5.84,15.4,154.0,5.0,12.0,10.0,7.0,26.0,41.0,429.0,485.0,False,11.0,12.0,0.0,0.0,,,,,,,,-1126.0,110.0,103.0,16390.0,9793.0,110.0,59.4,59.4,9.38,7.85,7.85,5.76,,2026-08-09T05:37:31,https://www.screener.in/company/J%26KBANK/consolidated/
HINDCOPPER,47539.0,492.0,48.1,42.5,32.9,34.6,49.0,22.0,11.0,115.0,50.0,55.0,444.0,187.0,False,54.0,36.0,5.0,4.0,1156.0,731.0,58.1,5.0,111.0,156.0,0.03,1474.0,484.0,484.0,2859.0,1599.0,96.8,66.14,66.14,5.96,5.05,4.84,6.0,,2026-08-02T07:26:06,https://www.screener.in/company/HINDCOPPER/consolidated/
CARTRADE,13143.0,2720.0,55.2,11.8,9.69,519.0,20.0,29.0,26.0,53.0,89.0,20.0,57.0,47.0,False,31.0,25.0,9.0,9.0,201.0,173.0,16.2,9.0,140.0,86.0,0.06,257.0,48.0,47.0,2436.0,1997.0,4.8,,,54.37,68.51,15.63,9.95,,2026-08-02T07:26:19,https://www.screener.in/company/CARTRADE/consolidated/
PRICOLLTD,8994.0,738.0,33.6,24.5,21.8,103.0,43.0,27.0,23.0,56.0,28.0,40.0,67.0,50.0,False,11.0,11.0,5.0,0.0,1105.0,895.0,23.5,9.0,379.0,110.0,0.3,281.0,12.0,12.0,1243.0,692.0,12.0,38.51,38.51,13.95,16.53,11.79,14.55,,2026-08-09T05:54:17,https://www.screener.in/company/PRICOLLTD/consolidated/
COFORGE,76227.0,1721.0,39.8,23.5,20.6,284.0,36.0,27.0,29.0,98.0,31.0,28.0,532.0,356.0,False,19.0,16.0,8.0,5.0,5528.0,3704.0,49.2,9.0,728.0,562.0,0.08,1792.0,67.0,61.0,9470.0,3021.0,33.5,,,24.31,34.09,42.62,54.87,,2026-08-02T07:20:07,https://www.screener.in/company/COFORGE/consolidated/
KALYANKJIL,62817.0,608.0,42.9,20.5,24.8,61.1,46.0,36.0,33.0,83.0,44.0,195.0,349.0,264.0,False,6.0,7.0,7.0,0.0,10589.0,7268.0,45.7,9.0,6117.0,4295.0,0.97,1318.0,1033.0,1030.0,5276.0,2605.0,103.3,62.86,62.77,10.82,14.12,15.83,14.56,,2026-08-16T05:17:19,https://www.screener.in/company/KALYANKJIL/consolidated/
TEJASNET,9138.0,513.0,,-14.6,-26.8,165.0,-83.0,6.0,16.0,-624.0,,,-202.0,-194.0,False,-25.0,-67.0,0.0,1.0,402.0,202.0,99.0,1.0,4177.0,50.0,1.43,135.0,181.0,172.0,2750.0,2801.0,18.1,53.33,53.66,5.82,6.24,4.04,4.79,,2026-08-09T05:47:59,https://www.screener.in/company/TEJASNET/consolidated/
HSCL,33019.0,654.0,41.3,22.1,17.8,93.3,10.0,4.0,23.0,30.0,47.0,74.0,228.0,179.0,False,20.0,22.0,9.0,0.0,1432.0,1118.0,28.1,3.0,770.0,842.0,0.16,382.0,50.0,43.0,4656.0,2237.0,50.0,52.49,51.57,6.8,5.74,3.33,3.21,,2026-08-23T05:10:15,https://www.screener.in/company/HSCL/consolidated/
PTCIL,28561.0,19050.0,227.0,8.43,7.02,1005.0,95.0,40.0,30.0,103.0,58.0,101.0,29.0,5.0,False,25.0,9.0,4.0,2.0,192.0,97.0,97.9,8.0,261.0,177.0,0.17,-69.0,15.0,13.0,1492.0,293.0,1.5,59.72,59.75,3.95,3.41,9.35,8.51,,2026-08-16T05:19:53,https://www.screener.in/company/PTCIL/consolidated/
HEG,13007.0,674.0,36.7,8.35,7.42,247.0,20.0,1.0,15.0,80.0,-14.0,46.0,122.0,105.0,False,22.0,17.0,1.0,1.0,681.0,613.0,11.1,5.0,796.0,743.0,0.17,213.0,39.0,39.0,4719.0,4242.0,19.5,56.27,55.77,8.47,7.97,9.27,11.99,,2026-08-09T05:47:35,https://www.screener.in/company/HEG/consolidated/
BHARATFORG,102866.0,2152.0,91.1,12.6,12.0,200.0,11.0,9.0,22.0,19.0,33.0,39.0,233.0,283.0,False,17.0,18.0,0.0,0.0,4528.0,3853.0,17.5,3.0,7309.0,7313.0,0.76,1487.0,96.0,93.0,9484.0,6612.0,48.0,44.07,44.07,15.04,13.62,32.18,32.11,,2026-07-26T07:16:49,https://www.screener.in/company/BHARATFORG/consolidated/
