symbol,market_cap_cr,current_price,pe,roce_pct,roe_pct,book_value,sales_growth_ttm,sales_growth_3y,sales_growth_5y,profit_growth_ttm,profit_growth_3y,profit_growth_5y,np_latest_q,np_yoy_q,loss_to_profit,opm_latest_q,opm_yoy_q,np_yoy_streak,opm_yoy_streak,sales_latest_q,sales_yoy_q,sales_yoy_pct,sales_yoy_streak,debt_cr,debt_3y_ago_cr,debt_to_equity,cfo_last_cr,equity_cap_now,equity_cap_3y_ago,reserves_now,reserves_3y_ago,shares_out_cr,promoter_pct,promoter_pct_4q_ago,fii_pct,fii_pct_4q_ago,dii_pct,dii_pct_4q_ago,pledge_pct,fetched_at,source
WOCKPHARMA,32126.0,1977.0,80.6,7.55,6.11,304.0,18.0,8.0,4.0,983.0,43.0,-19.0,107.0,-108.0,True,21.0,10.0,4.0,4.0,929.0,738.0,25.9,3.0,2233.0,2184.0,0.45,390.0,81.0,72.0,4859.0,3282.0,16.2,49.09,49.09,7.23,7.1,9.24,11.0,,2026-08-30T10:07:55,https://www.screener.in/company/WOCKPHARMA/consolidated/
FEDERALBNK,85096.0,344.0,18.2,6.39,11.6,162.0,7.0,19.0,16.0,16.0,11.0,21.0,1302.0,951.0,False,8.0,1.0,3.0,2.0,,,,,,,,4349.0,493.0,423.0,39550.0,21699.0,246.5,,,27.71,25.54,49.27,49.71,,2026-08-30T10:07:58,https://www.screener.in/company/FEDERALBNK/consolidated/
WELENT,9278.0,670.0,26.2,16.7,13.6,220.0,-2.0,9.0,19.0,2.0,12.0,24.0,56.0,101.0,False,19.0,21.0,0.0,0.0,774.0,845.0,-8.4,0.0,1987.0,764.0,0.65,112.0,136.0,150.0,2908.0,2206.0,13.6,56.13,55.48,3.92,3.98,9.25,9.46,,2026-08-28T23:04:33,https://www.screener.in/company/WELENT/consolidated/
DYNAMATECH,7767.0,11436.0,133.0,10.2,6.67,1251.0,17.0,7.0,8.0,38.0,6.0,34.0,21.0,11.0,False,13.0,10.0,1.0,2.0,425.0,371.0,14.6,6.0,638.0,754.0,0.8,95.0,7.0,7.0,787.0,535.0,0.7,41.5,41.87,10.26,12.23,15.86,13.85,,2026-08-30T10:08:02,https://www.screener.in/company/DYNAMATECH/consolidated/
NUVAMA,33251.0,1805.0,30.7,17.5,27.4,226.0,13.0,28.0,27.0,5.0,51.0,59.0,306.0,264.0,False,53.0,54.0,3.0,0.0,1376.0,1123.0,22.5,9.0,11544.0,5413.0,2.8,-3014.0,36.0,35.0,4085.0,2219.0,18.0,53.98,54.64,19.0,16.3,8.49,7.59,62.8,2026-08-30T10:08:05,https://www.screener.in/company/NUVAMA/consolidated/
JAYNECOIND,9794.0,101.0,,2.93,-0.87,33.2,-13.0,1.0,3.0,4.0,,,,,False,,,,,,,,,4114.0,2422.0,1.94,521.0,639.0,497.0,1482.0,1308.0,63.9,55.15,55.15,1.32,1.07,0.78,0.51,99.9,2026-08-25T14:02:15,https://www.screener.in/company/JAYNECOIND/consolidated/
THYROCARE,9301.0,584.0,51.5,35.4,28.4,36.8,21.0,16.0,11.0,70.0,36.0,8.0,51.0,38.0,False,32.0,30.0,9.0,9.0,240.0,193.0,24.4,9.0,51.0,23.0,0.09,213.0,159.0,53.0,426.0,481.0,15.9,60.92,71.06,5.43,4.85,20.92,13.47,100.0,2026-08-30T10:08:09,https://www.screener.in/company/THYROCARE/consolidated/
IPCALAB,49480.0,1950.0,36.0,17.0,15.7,318.0,11.0,16.0,12.0,54.0,37.0,1.0,424.0,233.0,False,24.0,18.0,9.0,4.0,2788.0,2309.0,20.7,9.0,809.0,1481.0,0.1,1142.0,25.0,25.0,8038.0,5817.0,25.0,44.72,44.72,10.72,10.42,37.04,36.45,,2026-08-30T10:08:12,https://www.screener.in/company/IPCALAB/consolidated/
FLUOROCHEM,52412.0,4771.0,84.8,9.86,7.6,716.0,10.0,-4.0,14.0,0.0,-24.0,36.0,219.0,182.0,False,27.0,27.0,1.0,0.0,1588.0,1281.0,24.0,2.0,2290.0,1515.0,0.29,961.0,11.0,11.0,7855.0,5510.0,11.0,61.39,61.39,4.41,4.36,13.33,12.73,,2026-08-30T10:08:15,https://www.screener.in/company/FLUOROCHEM/consolidated/
DCBBANK,6861.0,213.0,8.71,7.4,12.0,203.0,11.0,21.0,16.0,23.0,16.0,17.0,213.0,157.0,False,5.0,-1.0,9.0,2.0,,,,,,,,6640.0,322.0,312.0,6213.0,4255.0,32.2,16.22,14.66,13.48,10.49,32.28,31.93,,2026-08-30T10:08:20,https://www.screener.in/company/DCBBANK/
NYKAA,96134.0,336.0,361.0,17.2,15.3,5.02,27.0,25.0,33.0,234.0,122.0,28.0,80.0,24.0,False,8.0,7.0,9.0,5.0,2782.0,2155.0,29.1,9.0,1238.0,798.0,0.86,644.0,286.0,285.0,1152.0,1093.0,286.0,52.07,52.12,13.73,12.54,24.08,24.99,,2026-08-30T10:08:23,https://www.screener.in/company/NYKAA/consolidated/
